context_3,context_2,context_1,response
,,,в диффузии мы получаем на выходе гаусовский шум
,,в диффузии мы получаем на выходе гаусовский шум,"Стоп у меня на входе генератора в гане шум, и это что делает его диффузией?)"
,в диффузии мы получаем на выходе гаусовский шум,"Стоп у меня на входе генератора в гане шум, и это что делает его диффузией?)",
,,,"а не картинку)
душню
что подсказать
ну ты всегда можно заблюрить или повернуть на заданный угл
а его можно через рандом получить для всех"
,,"а не картинку)
душню
что подсказать
ну ты всегда можно заблюрить или повернуть на заданный угл
а его можно через рандом получить для всех","независимы типо на рандомные кадры применялось?
ну так просто p"
,"а не картинку)
душню
что подсказать
ну ты всегда можно заблюрить или повернуть на заданный угл
а его можно через рандом получить для всех","независимы типо на рандомные кадры применялось?
ну так просто p","+
ну угл же задать можно
а так тряска камеры)"
"а не картинку)
душню
что подсказать
ну ты всегда можно заблюрить или повернуть на заданный угл
а его можно через рандом получить для всех","независимы типо на рандомные кадры применялось?
ну так просто p","+
ну угл же задать можно
а так тряска камеры)","да просто настрой ауги
чтобы норм было
а"
,,,типо чтобы на видео был всегда одинаковый флип?
,,типо чтобы на видео был всегда одинаковый флип?,.
,,,Ну раз селим предложил…
,,Ну раз селим предложил…,
,,,например
,,,"ну тупо можешь для каждого видео создавать заново ауги и задавать один рандомный угол, самый наивный способ"
,,"ну тупо можешь для каждого видео создавать заново ауги и задавать один рандомный угол, самый наивный способ",я про это же и говорил
,,,"но если replay compose норм
то можно его юзать смело
ну да
непонятно что Вадим хочет
так семплов всего 500"
,,"но если replay compose норм
то можно его юзать смело
ну да
непонятно что Вадим хочет
так семплов всего 500",а что не так?
,"но если replay compose норм
то можно его юзать смело
ну да
непонятно что Вадим хочет
так семплов всего 500",а что не так?,это не будет сильно затратно по времени
"но если replay compose норм
то можно его юзать смело
ну да
непонятно что Вадим хочет
так семплов всего 500",а что не так?,это не будет сильно затратно по времени,ну ауги не закешируешь
а что не так?,это не будет сильно затратно по времени,ну ауги не закешируешь,"вообще не будет
да забей на 500 семплов"
это не будет сильно затратно по времени,ну ауги не закешируешь,"вообще не будет
да забей на 500 семплов",но всё равно не будет затратно
,,,ucf101
,,ucf101,я на нем генерацию видео тренил
,,,извините
,,извините,"протести, но на 100к видео нудны ресы чтобы затренить"
,извините,"протести, но на 100к видео нудны ресы чтобы затренить","норм датасет
можно заюзать"
извините,"протести, но на 100к видео нудны ресы чтобы затренить","норм датасет
можно заюзать",обучать 2 дня лессгоу
"протести, но на 100к видео нудны ресы чтобы затренить","норм датасет
можно заюзать",обучать 2 дня лессгоу,"там батч побольше можно)
особенно с дипспидом
кстати
норм"
"норм датасет
можно заюзать",обучать 2 дня лессгоу,"там батч побольше можно)
особенно с дипспидом
кстати
норм","а откуда у тебя
аххахах
не бесполезное достижение"
обучать 2 дня лессгоу,"там батч побольше можно)
особенно с дипспидом
кстати
норм","а откуда у тебя
аххахах
не бесполезное достижение",каких?
"там батч побольше можно)
особенно с дипспидом
кстати
норм","а откуда у тебя
аххахах
не бесполезное достижение",каких?,"Я два раз мультиклассовый делал(один для генерации изображений дорожных знаков, другой для лиц( сейчас делаю))"
"а откуда у тебя
аххахах
не бесполезное достижение",каких?,"Я два раз мультиклассовый делал(один для генерации изображений дорожных знаков, другой для лиц( сейчас делаю))",на 40 или 80?
каких?,"Я два раз мультиклассовый делал(один для генерации изображений дорожных знаков, другой для лиц( сейчас делаю))",на 40 или 80?,"дефолт, вон у мисиса супер компьютер на 200 а100 80гб"
"Я два раз мультиклассовый делал(один для генерации изображений дорожных знаков, другой для лиц( сейчас делаю))",на 40 или 80?,"дефолт, вон у мисиса супер компьютер на 200 а100 80гб","ну про сбер
я промолчу"
на 40 или 80?,"дефолт, вон у мисиса супер компьютер на 200 а100 80гб","ну про сбер
я промолчу",да сбер по сравнению с мисисом
,,,у них 700+
,,у них 700+,
,,,и 1000+ v100
,,,Оба раза так делал
,,Оба раза так делал,Вроде это классика
,,,"чел
это если необучен
диффузия по другому работает"
,,,там она учится предсказывать шум
,,там она учится предсказывать шум,Шум+картинка=?
,там она учится предсказывать шум,Шум+картинка=?,Картинка с шумом
,,,"который был прибавлен к картинке
да норм"
,,да,Ну так чему равно?
,да,Ну так чему равно?,?
,,,"ну типо вот так
шум × a + картинка × (1 - a)
чел"
,,"ну типо вот так
шум × a + картинка × (1 - a)
чел",Что ты хочешь еще услышать?
,,,10
,,10,10+1=?
,,,11 в следующем году
,,,"Тоже самое с диффузией, на каждом шагу в нее добавляется все больше шума"
,,"Тоже самое с диффузией, на каждом шагу в нее добавляется все больше шума",Так что максимизирует/минимизируется при обучении?
,"Тоже самое с диффузией, на каждом шагу в нее добавляется все больше шума",Так что максимизирует/минимизируется при обучении?,"мы учимся предиктить шум, который был прибавлен к картинке"
"Тоже самое с диффузией, на каждом шагу в нее добавляется все больше шума",Так что максимизирует/минимизируется при обучении?,"мы учимся предиктить шум, который был прибавлен к картинке",Типа чтобы его отнять и восстановить исходное изображение?
,,,"донт душнить в чате форевер
фор евериван"
,,,нет
,,нет,"Но основная цель ""восстановить"" изображение + ещё для этого бывает добавляется доп текстовый вход для уточнения того, что должно получиться ?"
,,,"там послежнее
в инфиренсе
есть много разных сэмплеров
пишу)
на arxiv
да"
,,,ну что значит востановить изображение
,,ну что значит востановить изображение,"Я подразумеваю что-то типо сети Хопфилда с обучением по хебу по итоговому результату, только с возможностью ""смешивать в определённых пропорциях"" примеров, на котором производилось обучение"
,,,"нам надо предсказать шум, который прибавился"
,,,Какую?
,,Какую?,https://huggingface.co/blog/annotated-diffusion
,Какую?,https://huggingface.co/blog/annotated-diffusion,"О, не видел чет"
,,,Про диффузии
,,Про диффузии,Ищу команду)
,Про диффузии,Ищу команду),"вот это
оно самое понятное и с кодом сразу"
,,,"Я Андрей Петерсон, если что"
,,"Я Андрей Петерсон, если что",Здравствуйте.
,"Я Андрей Петерсон, если что",Здравствуйте.,Знакомы? 🤨
"Я Андрей Петерсон, если что",Здравствуйте.,Знакомы? 🤨,Всегда можно
Здравствуйте.,Знакомы? 🤨,Всегда можно,Название команды с прошлого года?
Знакомы? 🤨,Всегда можно,Название команды с прошлого года?,Градиентное погружение
Всегда можно,Название команды с прошлого года?,Градиентное погружение,
,,,Нет. Познакомимся?
,,,где то в конце были
,,где то в конце были,"Последний году участвуем, можем подняться"
,,,"в лидерборде финала
ага"
,,"в лидерборде финала
ага","А если без шуток, кто-то команду ищет?"
,,,лучше это обсуждать в конце 2 этапа
,,лучше это обсуждать в конце 2 этапа,"Я просто забыл, думал второй этап сразу командный"
,,,когда будет лидерборд и понятен уровень участников
,,когда будет лидерборд и понятен уровень участников,"Готов стать вашим сокомандником за 1 млн рублей
Победа не гарантирована"
,,,"На первый взгляд, задание намного легче чем в прошлом году"
,,"На первый взгляд, задание намного легче чем в прошлом году",абсолютно такой же
,"На первый взгляд, задание намного легче чем в прошлом году",абсолютно такой же,"Не-а, там надо было выделять текст, чем точнее, тем выше балл"
,,,Решай
,,Решай,Было бы время
,Решай,Было бы время,≈2 часа на топ 3
,,,Это ты про обучение или написание кода?
,,Это ты про обучение или написание кода?,Все занятое время
,,,какие этапы олимпиады вообще есть ?
,,какие этапы олимпиады вообще есть ?,"1, 2 и 3"
,,,"1 ты прошел
2 идет сейчас
3 финал"
,,,в финал сколько команд проходят?
,,в финал сколько команд проходят?,100 человек
,,,там даже архитектура 1)
,,,абсолютно также)
,,абсолютно также),Типа и там и там свёртка + rnn?
,абсолютно также),Типа и там и там свёртка + rnn?,да
,,,просто лосс другой)
,,просто лосс другой),"Ладно, как знаешь
Ничего себе, это настоящий Никита Демерза?"
,,,Блин опять 25...
,,Блин опять 25...,Да. это настоящий Никита Демерза
,,,С чего такая уверенность? 🤣
,,С чего такая уверенность? 🤣,Личные сообщения остались
,С чего такая уверенность? 🤣,Личные сообщения остались,"Где?
谁是谁?"
,,,Ты фамилии меняешь также часто как и имена?
,,Ты фамилии меняешь также часто как и имена?,У меня просто на курсах должна быть моя настоящая фамилия
,Ты фамилии меняешь также часто как и имена?,У меня просто на курсах должна быть моя настоящая фамилия,курсы для поступления в мисис?
,,,"Интересно, а настоящая фамилия не Петросян случайно? 🤣"
,,"Интересно, а настоящая фамилия не Петросян случайно? 🤣","Я Андрей, очень приятно"
,,,а если на улице нашёл случайно?
,,а если на улице нашёл случайно?,Бан
,,,А когда проверяющую выборку изменят?
,,,И как скрыть свой результат?
,,И как скрыть свой результат?,тут такое осуждают
,И как скрыть свой результат?,тут такое осуждают,У него вчера было 0.99 а сейчас 0.9
И как скрыть свой результат?,тут такое осуждают,У него вчера было 0.99 а сейчас 0.9,Ну типо а смысл мне показывать всем результат оверфитинга на тестовых данных?
тут такое осуждают,У него вчера было 0.99 а сейчас 0.9,Ну типо а смысл мне показывать всем результат оверфитинга на тестовых данных?,Тест = трейну сейчас?
,,,значит и его осуждаем
,,,Ищу команду на ИИ 2ой этап😅
,,Ищу команду на ИИ 2ой этап😅,так он индивидуальный
,,,Мне пишут командный
,,Мне пишут командный,На платформе НТО нужно создать команду из 1 человека
,,,"А ок, спасибо"
,,"А ок, спасибо",привэтик
,"А ок, спасибо",привэтик,"там же вроде можно в команду второго человека добавить, нет?"
"А ок, спасибо",привэтик,"там же вроде можно в команду второго человека добавить, нет?",А там можно выбрать результат?
,,,0.9 без оверфитинга чел харош))
,,0.9 без оверфитинга чел харош)),"0.9 тоже пока с ним, но мы работаем над этим вопросом"
,,,"мы?
так так так"
,,"мы?
так так так","Так, что это устойчивое выражение"
,"мы?
так так так","Так, что это устойчивое выражение","откуда у вас тестовые данные, в тех которые нам дали есть утечка?"
"мы?
так так так","Так, что это устойчивое выражение","откуда у вас тестовые данные, в тех которые нам дали есть утечка?","Вы на каком объем данных обучаете, 522? А то в папке только 181 видео"
,,,А как ты удалил этот результат?
,,А как ты удалил этот результат?,Там выбрать можно
,А как ты удалил этот результат?,Там выбрать можно,Который в финал пойдёт нужно выбрать и он на лд будет отображаться
,,,"Здравствуйте, снова тот же вопрос, когда починят данные?"
,,"Здравствуйте, снова тот же вопрос, когда починят данные?","Вопрос в работе. Завтра отпишемся, как починят"
,,,"Всем привет)
Есть тут тот, кто ищет команду?)

10-11 класс (я из 11)
Желательно МСК. Разница в час-два не очень критична)

P.s. команда уже есть, нужен целеустремлённый участник🔥🔥🔥"
,,"Всем привет)
Есть тут тот, кто ищет команду?)

10-11 класс (я из 11)
Желательно МСК. Разница в час-два не очень критична)

P.s. команда уже есть, нужен целеустремлённый участник🔥🔥🔥",2 этап индивидуальный
,,,А дальше же идёт командный
,,А дальше же идёт командный,"да,но в команде 2 человека"
,,,хак и финал командный
,,,"Человек, с которым я планировала быть в команде, не прошёл отборочный этап(
Вот теперь приходится искать кого-то, кто готов работать 🔥"
,,"Человек, с которым я планировала быть в команде, не прошёл отборочный этап(
Вот теперь приходится искать кого-то, кто готов работать 🔥",торты умеешь готовить?
,,,"Ахахха, я ищу сокомандника, а не сожителя😂😂😂"
,,"Ахахха, я ищу сокомандника, а не сожителя😂😂😂",на финале все сокомандники - сожители
,,,Значит не умеешь?
,,Значит не умеешь?,"Я больше по кексам, но, думаю, что торт не составит особого труда))"
,Значит не умеешь?,"Я больше по кексам, но, думаю, что торт не составит особого труда))","Вот, другой разговор"
Значит не умеешь?,"Я больше по кексам, но, думаю, что торт не составит особого труда))","Вот, другой разговор","На финале не до тортиков будет)))
Работать нужно 🔥"
,,,а где финал  проходит?
,,а где финал  проходит?,"Точное место проведение финала пока неизвестно, сообщат ближе к делу"
,,,да там финал можно в соло решить
,,,в анталье
,,в анталье,у 1 участника
,,,"самое главное, чтобы поесть было"
,,,Подскажите из-за чего выходит ошибка
,,Подскажите из-за чего выходит ошибка,нет метадата.json
,Подскажите из-за чего выходит ошибка,нет метадата.json,Как можно исправить эту ошибку
,,,конкретного
,,конкретного,?
,конкретного,?,добавить его
конкретного,?,добавить его,сделать метадата
?,добавить его,сделать метадата,ок
добавить его,сделать метадата,ок,😅
сделать метадата,ок,😅,по моему вам пора во флудилку
,,,онлайн финал топ
,,онлайн финал топ,+
,,,награждение офлайн
,,награждение офлайн,да
,,,чтобы просто собраться и почилить
,,чтобы просто собраться и почилить,А сколько человек бви получит? Первые 5 команд?
,чтобы просто собраться и почилить,А сколько человек бви получит? Первые 5 команд?,первые 12
чтобы просто собраться и почилить,А сколько человек бви получит? Первые 5 команд?,первые 12,Команд или людей?
,,,лучший расклад
,,,и по расходам и по качеству
,,и по расходам и по качеству,Можете предложить идею разработчикам)
,,,прилетишь?
,,прилетишь?,
,,,уже на законных основаниях)
,,уже на законных основаниях),аххахахах да лессгоу
,,,плбедители и призеры
,,плбедители и призеры,6 первые команд короче
,,,"первые 5 команд деньги получат
хз, там вообще жёстко обычно"
,,,ни разу в топ 5 не входил
,,ни разу в топ 5 не входил,ты же в прошлом году 1 место 2 этапа
,ни разу в топ 5 не входил,ты же в прошлом году 1 место 2 этапа,да
,,,"зачем эти сложности в топ 5 призеры и тп
просто чилишь в топ 40"
,,,на финале завалился
,,на финале завалился,А сколько у тебя уже бви?
,,,0
,,0,Я думал у тебя из около 2-3 штук
,,,"Господа, тема немного уже уходит в флуд"
,,"Господа, тема немного уже уходит в флуд","про онлайн финал серьезно, задумайтесь"
,,,+
,,+,И деньги получить…
,,,На этапе который сейчас нет
,,На этапе который сейчас нет,он из Днепра
,На этапе который сейчас нет,он из Днепра,Воу...
,,,"А что это меняет?
Блин, сочувствую тебе, пипец там наверное тяжело"
,,"А что это меняет?
Блин, сочувствую тебе, пипец там наверное тяжело",гифкоман
,"А что это меняет?
Блин, сочувствую тебе, пипец там наверное тяжело",гифкоман,Жесть...
"А что это меняет?
Блин, сочувствую тебе, пипец там наверное тяжело",гифкоман,Жесть...,"ты же в тиме?
не?"
гифкоман,Жесть...,"ты же в тиме?
не?","Я тоже сочувствую коллегам, который нынче в весьма тяжёлых обстоятельствах... Но всё-таки, это разговоры для другого чата"
Жесть...,"ты же в тиме?
не?","Я тоже сочувствую коллегам, который нынче в весьма тяжёлых обстоятельствах... Но всё-таки, это разговоры для другого чата","Сочувствую🙏🏼
Это ужасно(("
"ты же в тиме?
не?","Я тоже сочувствую коллегам, который нынче в весьма тяжёлых обстоятельствах... Но всё-таки, это разговоры для другого чата","Сочувствую🙏🏼
Это ужасно((",ты?
"Я тоже сочувствую коллегам, который нынче в весьма тяжёлых обстоятельствах... Но всё-таки, это разговоры для другого чата","Сочувствую🙏🏼
Это ужасно((",ты?,"топ 2к по соревам > топ 15 по дисскусиям лучше скажи про соревки
лол
если ты даже експерт в соревках
это лучше балабол гма
как говорил великий карпатый
да я понял"
"Сочувствую🙏🏼
Это ужасно((",ты?,"топ 2к по соревам > топ 15 по дисскусиям лучше скажи про соревки
лол
если ты даже експерт в соревках
это лучше балабол гма
как говорил великий карпатый
да я понял","Товарищи, каггломерство - тоже во флудилке"
ты?,"топ 2к по соревам > топ 15 по дисскусиям лучше скажи про соревки
лол
если ты даже експерт в соревках
это лучше балабол гма
как говорил великий карпатый
да я понял","Товарищи, каггломерство - тоже во флудилке",да есть какие-то абшибеки которые могут сломать сореву в начале
"топ 2к по соревам > топ 15 по дисскусиям лучше скажи про соревки
лол
если ты даже експерт в соревках
это лучше балабол гма
как говорил великий карпатый
да я понял","Товарищи, каггломерство - тоже во флудилке",да есть какие-то абшибеки которые могут сломать сореву в начале,"решаешь что то, находишься в серебре, просыпаешься
чел из золота опубликовал блокнот
и ты даже не в бронзе
и такой"
"Товарищи, каггломерство - тоже во флудилке",да есть какие-то абшибеки которые могут сломать сореву в начале,"решаешь что то, находишься в серебре, просыпаешься
чел из золота опубликовал блокнот
и ты даже не в бронзе
и такой",апвоутодрочеры
да есть какие-то абшибеки которые могут сломать сореву в начале,"решаешь что то, находишься в серебре, просыпаешься
чел из золота опубликовал блокнот
и ты даже не в бронзе
и такой",апвоутодрочеры,"у меня на соревке с сочинениями
да, это видел
за что?"
"решаешь что то, находишься в серебре, просыпаешься
чел из золота опубликовал блокнот
и ты даже не в бронзе
и такой",апвоутодрочеры,"у меня на соревке с сочинениями
да, это видел
за что?","ну кагл в принципе лоялен, они даже не банят за 18- участие хотя в правилах написано что нельзя, призовые тоже выплачивают"
апвоутодрочеры,"у меня на соревке с сочинениями
да, это видел
за что?","ну кагл в принципе лоялен, они даже не банят за 18- участие хотя в правилах написано что нельзя, призовые тоже выплачивают","медийку на arxiv качают
извините"
"у меня на соревке с сочинениями
да, это видел
за что?","ну кагл в принципе лоялен, они даже не банят за 18- участие хотя в правилах написано что нельзя, призовые тоже выплачивают","медийку на arxiv качают
извините","дискашн гм круто когда ты не делаешь тупо копи паст откуда то, а выкладываешь например решение в топе полностью описанное
copy paste не норм"
,,,"я когда то давно чекал топ на копи паст в том числе тебя, ну в целом я не был удивлен результатом"
,,"я когда то давно чекал топ на копи паст в том числе тебя, ну в целом я не был удивлен результатом","просто по своей сути большинство дискашн гмов челы которые имеют 0 медалей в соревках и это полная херня а не достижение, есть крутые челы типо криса, но таких единицы"
,,,"я не мониторю пф
челы берут голду в дисскусиях тупо поздравляя каких то челов с медалями лол
было 0
ну вот в то время у тебя было 0 соревок и это было максимально кринжово
не это тест докера"
,,"я не мониторю пф
челы берут голду в дисскусиях тупо поздравляя каких то челов с медалями лол
было 0
ну вот в то время у тебя было 0 соревок и это было максимально кринжово
не это тест докера","правда, что сейчас рейтинг бессмысленен?"
,"я не мониторю пф
челы берут голду в дисскусиях тупо поздравляя каких то челов с медалями лол
было 0
ну вот в то время у тебя было 0 соревок и это было максимально кринжово
не это тест докера","правда, что сейчас рейтинг бессмысленен?",да
,,,а будет компенсация по времени какая-то?
,,а будет компенсация по времени какая-то?,@kondrateva_m +
,,,а то уже неделя прошла вроде
,,а то уже неделя прошла вроде,"на самом деле просто название нравится
дорогу молодым
стикер-ответ удалили ясно"
,а то уже неделя прошла вроде,"на самом деле просто название нравится
дорогу молодым
стикер-ответ удалили ясно","харамный стикер, там алкоголь присутствует"
а то уже неделя прошла вроде,"на самом деле просто название нравится
дорогу молодым
стикер-ответ удалили ясно","харамный стикер, там алкоголь присутствует","код забыл написать?
из блокнота
логично
лр раз в 10 меньше надо
я за 10 эпох оверфитнул
оно быстро под новые переобучается
а под старые расходится
ну в плане быстро забывает
что выучила
у меня вообще талант
к оверфиту"
"на самом деле просто название нравится
дорогу молодым
стикер-ответ удалили ясно","харамный стикер, там алкоголь присутствует","код забыл написать?
из блокнота
логично
лр раз в 10 меньше надо
я за 10 эпох оверфитнул
оно быстро под новые переобучается
а под старые расходится
ну в плане быстро забывает
что выучила
у меня вообще талант
к оверфиту","не я без не юзал
у меня свой пайп
это тест докера чисто"
"харамный стикер, там алкоголь присутствует","код забыл написать?
из блокнота
логично
лр раз в 10 меньше надо
я за 10 эпох оверфитнул
оно быстро под новые переобучается
а под старые расходится
ну в плане быстро забывает
что выучила
у меня вообще талант
к оверфиту","не я без не юзал
у меня свой пайп
это тест докера чисто","я тоже
(я даже ничего не учив выбил скор больше бейза)
ммм
2 т4
меня он раздрожает
потому что приходится  на работе много делать
мне нравится accelerate
да всм
пишешь кастомное шардирование
и параллелишь
классно же
тем более есть встроенный дипспид
ну я в первый раз параллелил, когда в стабилити попал"
,,,catalyst имба
,,catalyst имба,это вообще к чему?
,catalyst имба,это вообще к чему?,вы заговорили про фреймворки вроде...
catalyst имба,это вообще к чему?,вы заговорили про фреймворки вроде...,дак мы для ddp параллель
это вообще к чему?,вы заговорили про фреймворки вроде...,дак мы для ddp параллель,catalyst тоже поддерживает ddp
,,,"знаю
да"
,,,но в чем прикол его юзать
,,но в чем прикол его юзать,у каждого свои вкусы
,,,"я просто ни разу не видел
чтобы его использовали"
,,,а ты вообще на каких картах его юзал?
,,а ты вообще на каких картах его юзал?,на 4х rtx2060ti
,,,"таких либ полно, это как спорить какая носки лучше"
,,"таких либ полно, это как спорить какая носки лучше","+
очевидно, что дипспид"
,"таких либ полно, это как спорить какая носки лучше","+
очевидно, что дипспид","ты можешь оценить что имеет комьюнити?
не думаю что кто-то обладает статистикой об использовании либ по ml и cv"
"таких либ полно, это как спорить какая носки лучше","+
очевидно, что дипспид","ты можешь оценить что имеет комьюнити?
не думаю что кто-то обладает статистикой об использовании либ по ml и cv","мне очень нравится accelerate еще
потому что там нет трейнеров
которые работают через жопу
везде
ну у pl не так?
он вообще глючит
постоянно
у меня"
"+
очевидно, что дипспид","ты можешь оценить что имеет комьюнити?
не думаю что кто-то обладает статистикой об использовании либ по ml и cv","мне очень нравится accelerate еще
потому что там нет трейнеров
которые работают через жопу
везде
ну у pl не так?
он вообще глючит
постоянно
у меня",всегда кому-то будет не нравится и будут появляется новые либы
,,,ну как минимум после перезапуска с чекпоинта
,,ну как минимум после перезапуска с чекпоинта,там идет жесткий баг по оставшимосю времени
,,,или же будут приходить компании или вузы
,,или же будут приходить компании или вузы,"+ что то изменять в нем
проблематично
если потребуется
а accelerate оч гибкий"
,,,посоветуйте курсы по ии какие нибудь клсссные
,,посоветуйте курсы по ии какие нибудь клсссные,dls
,посоветуйте курсы по ии какие нибудь клсссные,dls,мфти который?
,,да,шад нлп курс топ
,,,ну если инглиш не проблема то стенфордские еще лучше
,,ну если инглиш не проблема то стенфордские еще лучше,к счастью не проблема
,,,хотя матеша на англ...
,,хотя матеша на англ...,там норм
,,,кста
,,кста,"кто участвовал в прошлогоднем нто по ии, подскажите как проходил финал. там выдавались вычислительные мощности, давались сырые данные или уже подготовленные?"
,,,нто для русских школьников именно или для русских впринципе? я могу учиться допустим в финке и участвовать
,,нто для русских школьников именно или для русских впринципе? я могу учиться допустим в финке и участвовать,"Ру-гражданство есть? Я уточню у оргов, но раньше вроде не было проблем"
,,,давался мессяц на решение задачи финала
,,давался мессяц на решение задачи финала,он был заочно?
,,,"да
и на финале просто добавили 1 язык"
,,"да
и на финале просто добавили 1 язык",нет
,"да
и на финале просто добавили 1 язык",нет,видимо через месяц получим
"да
и на финале просто добавили 1 язык",нет,видимо через месяц получим,завтра должны по идее
,,,Есть
,,Есть,Я завтра расспрошу и расскажу соответственно
,,,Данные обновили?
,,,А будут ли пересчитаны старые сабмиты?
,,А будут ли пересчитаны старые сабмиты?,они уже по-моему в очереди
,,,ну во всяком случае пишется так в статусе
,,ну во всяком случае пишется так в статусе,У меня пересчитываются
,ну во всяком случае пишется так в статусе,У меня пересчитываются,будем ждать пока 50 бейзлайнов пересчитается
ну во всяком случае пишется так в статусе,У меня пересчитываются,будем ждать пока 50 бейзлайнов пересчитается,"+
я рофляну"
У меня пересчитываются,будем ждать пока 50 бейзлайнов пересчитается,"+
я рофляну",Имба
,,,если мой оверфит
,,если мой оверфит,чет сделает
,,,"Что кстати со сроками, их сдвинут?"
,,"Что кстати со сроками, их сдвинут?",да
,"Что кстати со сроками, их сдвинут?",да,"Что за input.csv?
Новый формат сдачи решения?
У меня все мои предыдущие решения прогнались с ошибками"
"Что кстати со сроками, их сдвинут?",да,"Что за input.csv?
Новый формат сдачи решения?
У меня все мои предыдущие решения прогнались с ошибками","Костыль, легче исключить из теста сомнительные примеры"
да,"Что за input.csv?
Новый формат сдачи решения?
У меня все мои предыдущие решения прогнались с ошибками","Костыль, легче исключить из теста сомнительные примеры",мне кажется должно быть water
,,,"ну вообще учитывая, что облака, вода= облака, тогда наверное облака"
,,"ну вообще учитывая, что облака, вода= облака, тогда наверное облака",ты это нейронке объясни
,"ну вообще учитывая, что облака, вода= облака, тогда наверное облака",ты это нейронке объясни,"она же будет занулять вероятность воды, тем самым повлиет на другие данные"
,,,"хорошая идея сделать k@accuracy, но это явно смягчит оценивание и сделает его более лояльным"
,,"хорошая идея сделать k@accuracy, но это явно смягчит оценивание и сделает его более лояльным","Пропустил это сообщение, соре"
,,,"Если есть вариант изменить метрику, то кажется лучше изменить данные. Я про то что формально менять сейчас что-либо опасно"
,,"Если есть вариант изменить метрику, то кажется лучше изменить данные. Я про то что формально менять сейчас что-либо опасно",ахахыхва
