context_3,context_2,context_1,response
,,,и порешать что-то на vbox escaping
,,и порешать что-то на vbox escaping,темпа 38+
,,,Лучше сходи к врачу
,,Лучше сходи к врачу,я был уже дурак
,Лучше сходи к врачу,я был уже дурак,И как
Лучше сходи к врачу,я был уже дурак,И как,я же писал в конфу
,,,надо ботать
,,надо ботать,"я тоже
ты конченный?"
,надо ботать,"я тоже
ты конченный?","Ладно, зая седня злая"
,,,Не пристрелили ведь
,,Не пристрелили ведь,бля
,Не пристрелили ведь,бля,чего
Не пристрелили ведь,бля,чего,а когда релиз хохлокоинов
бля,чего,а когда релиз хохлокоинов,"да сука
я если ноут возьму"
,,,у меня от экрана температура поднимется
,,у меня от экрана температура поднимется,Так А от телефона
,у меня от экрана температура поднимется,Так А от телефона,я яркость почти на нуле держу
у меня от экрана температура поднимется,Так А от телефона,я яркость почти на нуле держу,"Глаза заболят,А вместе с ними голова"
,,,хз какая там взаимосвязь
,,хз какая там взаимосвязь,ахах
,хз какая там взаимосвязь,ахах,"чего ореш
дурак
ответственности не несу"
хз какая там взаимосвязь,ахах,"чего ореш
дурак
ответственности не несу","ок, спасибо"
,,,"использовал запрещённые методы (сначала системы компьютерной алгебры а теперь системы компьютерной геометрии, можно сказать) и по-моему ad:ab = 2:5 недостижимо"
,,"использовал запрещённые методы (сначала системы компьютерной алгебры а теперь системы компьютерной геометрии, можно сказать) и по-моему ad:ab = 2:5 недостижимо",очень маловероятно что это окажется неверным
,,,"блять
у меня в левом наушнике
сердце бьётся
а все
прошло
пацаны
а если нет кашля
и вкус не потерян"
,,,то это точно не корона?
,,то это точно не корона?,отправил данные в лабораторию результат теста через несколько дней
,,,"чисто темпа без симптомов
ну ещё горло красное, но не болит
ор
ахахахахха
кста
я же сегодня сдал тест
в нос пиздец неприятно"
,,,"системы компьютерной геометрии
это как"
,,"системы компьютерной геометрии
это как",Geogebra
,"системы компьютерной геометрии
это как",Geogebra,красивое...
,,,"+
И предпоследнее тоже неверное"
,,,я сделал все кроме последней геометрии получается
,,я сделал все кроме последней геометрии получается,4 как
,я сделал все кроме последней геометрии получается,4 как,осинт за 100
,,,завтра может попробую методом координат доказать обратное
,,,а т.е. это 3 сломанных задания из 5? раньше вроде было только по 2
,,а т.е. это 3 сломанных задания из 5? раньше вроде было только по 2,?
,,,а какое третье?
,,а какое третье?,"1,4,5"
,а какое третье?,"1,4,5",1 норм через z3 решается
,,,так оно правильный ответ не принимало
,,так оно правильный ответ не принимало,а
,,,правда сдал его с одной ошибкой
,,правда сдал его с одной ошибкой,но сейчас исправили
,правда сдал его с одной ошибкой,но сейчас исправили,"видимо мне повезло
ну 5 сдало 8 человек
если бы 1 сдал, то как бы да - ошибка ошибкой"
правда сдал его с одной ошибкой,но сейчас исправили,"видимо мне повезло
ну 5 сдало 8 человек
если бы 1 сдал, то как бы да - ошибка ошибкой","Ответ через прогу неверный
Реал?
Лол"
но сейчас исправили,"видимо мне повезло
ну 5 сдало 8 человек
если бы 1 сдал, то как бы да - ошибка ошибкой","Ответ через прогу неверный
Реал?
Лол","Да
чтож, я переоценил свои силы
как это говно решается вообще"
,,,выключил персонализацию
,,выключил персонализацию,почему 18+
,выключил персонализацию,почему 18+,это точно не doka 2?
,,,и теперь мне рекламируют доту а не jetbrains
,,,выключи рекламу
,,выключи рекламу,я микротик свой оставил в Батайске
,,,это конец
,,,"а там был скрипт, который банит всю ересь"
,,"а там был скрипт, который банит всю ересь","Кинь, а то персонально на все мобилки в семье лису поставил с ублоком"
,"а там был скрипт, который банит всю ересь","Кинь, а то персонально на все мобилки в семье лису поставил с ублоком","твои мысли гениальны, микротик у меня не дома"
,,,так адблок поставь
,,,Скрипт самописный?
,,Скрипт самописный?,да
,,,и серый ip
,,и серый ip,"В микротике есть классная штука, стучит в облако и делает домен [мак-роутера].микротик-облако .ком"
,и серый ip,"В микротике есть классная штука, стучит в облако и делает домен [мак-роутера].микротик-облако .ком",не работает если у тебя серый ip :c
и серый ip,"В микротике есть классная штука, стучит в облако и делает домен [мак-роутера].микротик-облако .ком",не работает если у тебя серый ip :c,Ставь класс если думал что серый IP значит динамический
,,,еще когда пришел микротик писал по мануалам
,,еще когда пришел микротик писал по мануалам,"При смене IP, днс запись меняется"
,еще когда пришел микротик писал по мануалам,"При смене IP, днс запись меняется","вот, у меня второй случай"
еще когда пришел микротик писал по мануалам,"При смене IP, днс запись меняется","вот, у меня второй случай",100.(64-127). - приват сеть?
"При смене IP, днс запись меняется","вот, у меня второй случай",100.(64-127). - приват сеть?,"я не сетевик, но там другой прикол"
,,,короче ростелеком засранцы
,,короче ростелеком засранцы,Открыл Америку
,,,"Ростелеком - ебаные пидорасы
Я с ростелекомом месяц воевал"
,,как,"Там целый букет сюрпризов:
- Из заявленных 100 Мбит по WiFi есть 25, по проводу 30.
- Бабушке навязали какую-то залупу, типо интернет через розетку, хотя есть WiFi
- Наебали на роутер, который работает как говно(постоянно перезагружается и часто отлетает WiFi)
- В тихую подключили услугу типо 99999999 каналов"
,как,"Там целый букет сюрпризов:
- Из заявленных 100 Мбит по WiFi есть 25, по проводу 30.
- Бабушке навязали какую-то залупу, типо интернет через розетку, хотя есть WiFi
- Наебали на роутер, который работает как говно(постоянно перезагружается и часто отлетает WiFi)
- В тихую подключили услугу типо 99999999 каналов",про роутер жиза
как,"Там целый букет сюрпризов:
- Из заявленных 100 Мбит по WiFi есть 25, по проводу 30.
- Бабушке навязали какую-то залупу, типо интернет через розетку, хотя есть WiFi
- Наебали на роутер, который работает как говно(постоянно перезагружается и часто отлетает WiFi)
- В тихую подключили услугу типо 99999999 каналов",про роутер жиза,"Могу тебе свой отдать, стоит на полочке пылиться пылиться(300 мб/с,  есть возможность всунуть симку, tplink вроде)"
,,,взрывал сервера
,,,"Ребят, есть Unity разработчики/VFX? Есть предложение одно"
,,"Ребят, есть Unity разработчики/VFX? Есть предложение одно",В лс
,,,"интернет через розетку
фига технологии"
,,"интернет через розетку
фига технологии",Ага
,"интернет через розетку
фига технологии",Ага,"я хотел делать себе
там типо набрежение скачет
и так инфа передается"
,,,Power line называется
,,Power line называется,ага
,,,половину списка подтверждаю
,,половину списка подтверждаю,"Ага, они бабушку в тихую наебали, а как я им начал мозг выносить, сразу слились ""мы ничйаво ни знаим ито у вас праблемы тыстыруити скороздь до нашыг синвиров"". Потом как уйти пригрозили, сразу всё ""магическим"" образом починилось"
,,,Говно ёбаное
,,Говно ёбаное,"ну для телика хотел делать
типо на кухне инет почти не ловит
и хоть через розетку"
,Говно ёбаное,"ну для телика хотел делать
типо на кухне инет почти не ловит
и хоть через розетку","И про спидтест внутри сети я не рофлю
С таким же успехом можно было скорость локалхоста замерить)"
Говно ёбаное,"ну для телика хотел делать
типо на кухне инет почти не ловит
и хоть через розетку","И про спидтест внутри сети я не рофлю
С таким же успехом можно было скорость локалхоста замерить)",я не понимаю что от меня хотят
"ну для телика хотел делать
типо на кухне инет почти не ловит
и хоть через розетку","И про спидтест внутри сети я не рофлю
С таким же успехом можно было скорость локалхоста замерить)",я не понимаю что от меня хотят,заполнить таблицу
"И про спидтест внутри сети я не рофлю
С таким же успехом можно было скорость локалхоста замерить)",я не понимаю что от меня хотят,заполнить таблицу,ну
я не понимаю что от меня хотят,заполнить таблицу,ну,"все
ты победил"
заполнить таблицу,ну,"все
ты победил","БОЯЯЯЯЯЯ
БЛЯЯ"
ну,"все
ты победил","БОЯЯЯЯЯЯ
БЛЯЯ",?
"все
ты победил","БОЯЯЯЯЯЯ
БЛЯЯ",?,"я задачу не читал
сук"
"БОЯЯЯЯЯЯ
БЛЯЯ",?,"я задачу не читал
сук",что это вообще
,,,где нашёл
,,где нашёл,задача из тура за 9 класс
,,,я думал x это одна сторона того квадрата
,,я думал x это одна сторона того квадрата,а
,я думал x это одна сторона того квадрата,а,"а как можно было нормально найти это говно кста
тут брутится это
а как по нормальному сделать
(тут матрица каждый раз одинаковая)"
,,,Кто это такой? Признавайтесь
,,Кто это такой? Признавайтесь,.
,,,100 проц из чд
,,,его тут забанили
,,его тут забанили,Всм
,,,Когда?
,,Когда?,недавно
,Когда?,недавно,И кто это
Когда?,недавно,И кто это,"хз
что
ради футболки какую-то хуню фиксить..."
,,,Какой-то слишком идиот
,,Какой-то слишком идиот,да
,Какой-то слишком идиот,да,"По моему просто новичок, там у него было пару вопросов по работе со стеком, объяснил ему вроде даже что-то понял"
Какой-то слишком идиот,да,"По моему просто новичок, там у него было пару вопросов по работе со стеком, объяснил ему вроде даже что-то понял","Ага, он мне там такое говорил, что я очень сомневаюсь что он хоть что-то понял"
,,,кто
,,кто,Я про этого чела
,,,Я уверен что это тролль
,,,какого
,,какого,Я уже кидал
,,,"Это или фантастический долбаёб, или тролль."
,,,Я пока смотрю в сторону чейнда
,,Я пока смотрю в сторону чейнда,Так чейнд
,,,"божебоже
боже"
,,"божебоже
боже",Слишком технически рофляно получается
,"божебоже
боже",Слишком технически рофляно получается,"боже
боже"
"божебоже
боже",Слишком технически рофляно получается,"боже
боже","Что?
Это апстрим?
Щас буду читать
Признавайся
Ты троллишь?
Или что это за чел такой"
,,,young night ахахахах
,,young night ахахахах,Знаешь его?
,,,"что-то знакомое
он вроде немного туповатый
я его в чс кинул"
,,"что-то знакомое
он вроде немного туповатый
я его в чс кинул","Я с ним в одном чате встретился
Он лютый пиздец нёс
Я думал что меня троллят
Ну уж слишком смешно
Я себе чуть живот не надорвал"
,"что-то знакомое
он вроде немного туповатый
я его в чс кинул","Я с ним в одном чате встретился
Он лютый пиздец нёс
Я думал что меня троллят
Ну уж слишком смешно
Я себе чуть живот не надорвал",кто больше
"что-то знакомое
он вроде немного туповатый
я его в чс кинул","Я с ним в одном чате встретился
Он лютый пиздец нёс
Я думал что меня троллят
Ну уж слишком смешно
Я себе чуть живот не надорвал",кто больше,он реально идиот
"Я с ним в одном чате встретился
Он лютый пиздец нёс
Я думал что меня троллят
Ну уж слишком смешно
Я себе чуть живот не надорвал",кто больше,он реально идиот,Кинуть ссылку?
,,,сложнейший осинт
,,сложнейший осинт,"Ага, прям пиздец"
,,,он в лс спрашивал какой-то кринж
,,он в лс спрашивал какой-то кринж,А я при споре с ним чуть не помер от смеха
,,,а зачем понимать что говоришь
,,а зачем понимать что говоришь,Вот это его
,,,Дададба
,,,"Все ещё актуально, не 0day тестировать. Челы с маками тоже вроде пойдут"
,,"Все ещё актуально, не 0day тестировать. Челы с маками тоже вроде пойдут",Я думал что твой зиродей только на гомофонах работает
,,,"Ой
Не туда"
,,"Ой
Не туда",ну ладно
,"Ой
Не туда",ну ладно,"Мама с работы принесла микротик, который мастер не смог настроить)))"
"Ой
Не туда",ну ладно,"Мама с работы принесла микротик, который мастер не смог настроить)))",Те на цтф просто дали обходить новейшую версию вб?
ну ладно,"Мама с работы принесла микротик, который мастер не смог настроить)))",Те на цтф просто дали обходить новейшую версию вб?,"а вообще статья годная, сразу крутым почувствовал когда понял о чем речь"
"Мама с работы принесла микротик, который мастер не смог настроить)))",Те на цтф просто дали обходить новейшую версию вб?,"а вообще статья годная, сразу крутым почувствовал когда понял о чем речь","Я же говорю, я не знаю"
,,,Спрашивай у Слонсера
,,Спрашивай у Слонсера,Да.
,,,А ты в тиме слонсера
,,А ты в тиме слонсера,"Нет, но да"
,,,Кекв
,,Кекв,А читать можно?
,Кекв,А читать можно?,баян
Кекв,А читать можно?,баян,а то есть я им ещё буду должен большие деньги чтобы это решать получается
,,,о 5 задачу исправили получается
,,о 5 задачу исправили получается,"ввёл сразу два разных ответа, ни тот ни тот не подошёл, не знаю, кто ошибся"
,о 5 задачу исправили получается,"ввёл сразу два разных ответа, ни тот ни тот не подошёл, не знаю, кто ошибся",обидная ситуация
,,,"однако они поменяли 4 задачу тоже и теперь надо угадать другую правильную интерпретацию
ошибка была у меня... невозможно."
,,"однако они поменяли 4 задачу тоже и теперь надо угадать другую правильную интерпретацию
ошибка была у меня... невозможно.","Найс
Зироклик
По блютузу
Пиздец"
,"однако они поменяли 4 задачу тоже и теперь надо угадать другую правильную интерпретацию
ошибка была у меня... невозможно.","Найс
Зироклик
По блютузу
Пиздец","ахахахахахахаххааххахаах
блять
что за чмо вздумало такое писать ?
если это не рофл конечно"
"однако они поменяли 4 задачу тоже и теперь надо угадать другую правильную интерпретацию
ошибка была у меня... невозможно.","Найс
Зироклик
По блютузу
Пиздец","ахахахахахахаххааххахаах
блять
что за чмо вздумало такое писать ?
если это не рофл конечно","Предположу, что CTF Innopolis"
,,,"Так а кто там отвечает , фазеева ?"
,,"Так а кто там отвечает , фазеева ?",Она не отвечает обычно
,,,"Спроси кто ты нахуй такой
это просто звучит так, будто это менад писал"
,,,Его кикнули из пати
,,Его кикнули из пати,"вообще я слышал от альжанова , что менад вылез из правильной пизды"
,,,я знаю
,,,наверное менад
,,наверное менад,Ж))
,,,"закибербуллили человека
теперь не хочет отвечать
я знаю как проверить менад ли это
надо написать, что я xss нашёл
поэтому его не кикнут из инно"
,,,"так что возможно, что менад теперь серый кардинал"
,,"так что возможно, что менад теперь серый кардинал",Кто это вообще такой?
,"так что возможно, что менад теперь серый кардинал",Кто это вообще такой?,
,,,И почему его все хейтят
,,И почему его все хейтят,вот эта чувырла
,,,которая не в состоянии сделать ни одного нормального таска
,,которая не в состоянии сделать ни одного нормального таска,?
,которая не в состоянии сделать ни одного нормального таска,?,ты же был на прошлом финале жуниора? Его там не было?
которая не в состоянии сделать ни одного нормального таска,?,ты же был на прошлом финале жуниора? Его там не было?,Нет. Я в прошлом инно только был
,,,А какие таски он делал?
,,А какие таски он делал?,TXT IT
,А какие таски он делал?,TXT IT,А что там надо было делать?
А какие таски он делал?,TXT IT,А что там надо было делать?,
,,,"Опен который
Ну и в этом жуниоре
Так
Вот это опасно было"
,,"Опен который
Ну и в этом жуниоре
Так
Вот это опасно было",а что было в ткт ит
,,,Что такое txt it ?
,,Что такое txt it ?,скорее всего тхтешник в котором в хексе прписан флаг
,Что такое txt it ?,скорее всего тхтешник в котором в хексе прписан флаг,нет
,,Что такое txt it ?,типо стега за 10
,,,"судя по тому, что с этим таском сделали столько стикеров, он немношко сложнее"
,,"судя по тому, что с этим таском сделали столько стикеров, он немношко сложнее",типо поэтому и шутка
,,,"что он супер изи
типо врайтапа на GET
смарю жожо"
,,"что он супер изи
типо врайтапа на GET
смарю жожо","Да
там даже в разборах иногда солвы на питоне есть"
,"что он супер изи
типо врайтапа на GET
смарю жожо","Да
там даже в разборах иногда солвы на питоне есть",о спасибо
"что он супер изи
типо врайтапа на GET
смарю жожо","Да
там даже в разборах иногда солвы на питоне есть",о спасибо,понимаю
"Да
там даже в разборах иногда солвы на питоне есть",о спасибо,понимаю,"аче меня пич заблочил
акак буллить
ъъъъ"
о спасибо,понимаю,"аче меня пич заблочил
акак буллить
ъъъъ","А когда НТИ стартуешь
сколько там времени дается"
,,,до окончания попытки
,,до окончания попытки,Окей
,,,"то есть 2 дня
зачем
билет в один конец
*путь"
,,"то есть 2 дня
зачем
билет в один конец
*путь","20 баллов есть уже
дальше смотреть нет смысла
Я на ИБ"
,,,рега на нти открылась?
,,рега на нти открылась?,да
,,,а финтех
,,а финтех,"а на студ нет (
до сих пор профилей нет"
,а финтех,"а на студ нет (
до сих пор профилей нет","Когда мы взломаем пентагон
Ну или решим txtit"
а финтех,"а на студ нет (
до сих пор профилей нет","Когда мы взломаем пентагон
Ну или решим txtit",Кстати
,,,вы вчера бомбили на карточки
,,вы вчера бомбили на карточки,"я могу тебе скинуть скрипт на питоне , который проверит правильный ли ответ"
,,,"таск
где вероятность
че там
тип  я получил ответ
и хз сдавать
или нет"
,,"таск
где вероятность
че там
тип  я получил ответ
и хз сдавать
или нет",ну они поменяли задание на нормальное
,"таск
где вероятность
че там
тип  я получил ответ
и хз сдавать
или нет",ну они поменяли задание на нормальное,ахахаха
,,,ХАХАХАХАХА
,,ХАХАХАХАХА,Аххахахахах
,,,"ахахахах
а так что можно было что ли
этот организатор - гений своего времени"
,,"ахахахах
а так что можно было что ли
этот организатор - гений своего времени","и там всего 2 таска
и я ни разу на трайхак ми ничего не делал"
,"ахахахах
а так что можно было что ли
этот организатор - гений своего времени","и там всего 2 таска
и я ни разу на трайхак ми ничего не делал",гениально
,,,"хорошо, что там линк не на hackforces"
,,"хорошо, что там линк не на hackforces",Find zeroday in google and send us report
,"хорошо, что там линк не на hackforces",Find zeroday in google and send us report,типичный таск на инно жуниор
,,,байт ловушкера
,,байт ловушкера,ну вот зачем судо...
,байт ловушкера,ну вот зачем судо...,"промотайте, там до титров кринж
а после норм"
байт ловушкера,ну вот зачем судо...,"промотайте, там до титров кринж
а после норм","ДА БЛЯТЬ
КАКОГО ХУЯ ИЛЛЕГАЛ ИНСТРУКТИОН"
ну вот зачем судо...,"промотайте, там до титров кринж
а после норм","ДА БЛЯТЬ
КАКОГО ХУЯ ИЛЛЕГАЛ ИНСТРУКТИОН","""АХхАХА МЫ СЕЙЧАС БУДЕМ ТЕБЯ УБИВАТЬ АХАХАХ""
кринж"
"промотайте, там до титров кринж
а после норм","ДА БЛЯТЬ
КАКОГО ХУЯ ИЛЛЕГАЛ ИНСТРУКТИОН","""АХхАХА МЫ СЕЙЧАС БУДЕМ ТЕБЯ УБИВАТЬ АХАХАХ""
кринж","там промотай
*так
там после титров заебись"
,,,начальных всмысле
,,начальных всмысле,"Чел, ты больной"
,,,"так ты же видишь, что у тебя тут какой-то  странный асм"
,,"так ты же видишь, что у тебя тут какой-то  странный асм",Ага
,,,Но гружу я нормальный
,,Но гружу я нормальный,"Видимо не туда грузишь, куда прыгаешь, неправильно грузишь"
,Но гружу я нормальный,"Видимо не туда грузишь, куда прыгаешь, неправильно грузишь",С 0xcc всё ахуенно
,,,И в хексе всё тоже норм
,,,*поехавший
,,*поехавший,
,,,это кринж
,,,Ты пывнишь ?
,,Ты пывнишь ?,Нет блять стегой занимаюсь
,Ты пывнишь ?,Нет блять стегой занимаюсь,ну вдруг ты просто бинарь патчишь
,,,"так может у тебя бинарь в картинке был
с кем не бывает"
,,,а можешь эксплойт показать
,,а можешь эксплойт показать,https://pastebin.com/eU2gARjs
,,,"Там ваще залупа какая-то
Вроде бы простой gets
Буффер - 128
А в итоге хуйня получается
С 0xCC всё ок"
,,"Там ваще залупа какая-то
Вроде бы простой gets
Буффер - 128
А в итоге хуйня получается
С 0xCC всё ок",поставь брейкпоинт на ретёрн
,,,и посмотри куда он прыгает
,,и посмотри куда он прыгает,"Туда, куда нужно он прыгает"
,,,"ты скорее всего с адресом не угадал
там же мало нопов"
,,"ты скорее всего с адресом не угадал
там же мало нопов","100 раз проверил
Идёт по нопам
Потом в шеллкод
В хексе с ним всё ок
А когда начинается исполнение, ты сам видел что происходит
Мб это шеллкод битый
Щас сам скомпилю"
,,,stepi ем пройдись
,,stepi ем пройдись,si
,,,"?
Уже
Там первые инструкции нормальные
А потом бред идёт"
,,"?
Уже
Там первые инструкции нормальные
А потом бред идёт","Да что за хрень с нти
Почему орки(орги, оргии) не могут нормально задания сделать"
,,,Раз уж это олимпиада первого уровня
,,Раз уж это олимпиада первого уровня,в этом году вроде ни одного первого уровня нету
,Раз уж это олимпиада первого уровня,в этом году вроде ни одного первого уровня нету,"всош, всесиб?"
Раз уж это олимпиада первого уровня,в этом году вроде ни одного первого уровня нету,"всош, всесиб?",что
,,,попробуй pwntools ом заслать
,,попробуй pwntools ом заслать,Уже
,попробуй pwntools ом заслать,Уже,Мб у тебя архитектуры не совпадают?
попробуй pwntools ом заслать,Уже,Мб у тебя архитектуры не совпадают?,x86-64
,,,"Я не нуб
Такая же хуйня происходит
Щас свой шеллкод запилю
Нахуй эту парашу"
,,"Я не нуб
Такая же хуйня происходит
Щас свой шеллкод запилю
Нахуй эту парашу","гдб прочти память, у тебя правильно шелкод записывается"
,"Я не нуб
Такая же хуйня происходит
Щас свой шеллкод запилю
Нахуй эту парашу","гдб прочти память, у тебя правильно шелкод записывается","А лол
А ВСОШ?"
"Я не нуб
Такая же хуйня происходит
Щас свой шеллкод запилю
Нахуй эту парашу","гдб прочти память, у тебя правильно шелкод записывается","А лол
А ВСОШ?",что
"гдб прочти память, у тебя правильно шелкод записывается","А лол
А ВСОШ?",что,Всерос которая
"А лол
А ВСОШ?",что,Всерос которая,ну оно вне
что,Всерос которая,ну оно вне,"А, пон"
,,,"(вне которое ""лучше"" а не ""хуже"")"
,,"(вне которое ""лучше"" а не ""хуже"")",Да это итак понятно
,,,Шел код - бинарь
,,Шел код - бинарь,"И там, и там"
,Шел код - бинарь,"И там, и там",А ну ок
Шел код - бинарь,"И там, и там",А ну ок,"Я с шеллсторма брал
Да и там первые 4-5 инструкций нормальные
А потом бред сумашедшего"
,,,А сам бинарь твой ввод никак не меняет ?
,,А сам бинарь твой ввод никак не меняет ?,.
,А сам бинарь твой ввод никак не меняет ?,.,Нет
,,,"-
Он даже /bin/sh грузит
А потом ахуевает от жизни
И в иллегал"
,,,а почему $rip-16 ?
,,а почему $rip-16 ?,Чтобы назад посмотреть
,,,"Так он покажет инструкции после этой
А мне желательно бы немного назад глянуть"
,,"Так он покажет инструкции после этой
А мне желательно бы немного назад глянуть","это понятно, но почему именно 16"
,,,"он ведь неправильно инструкции покажет, если ты неверное смещение выберешь"
,,"он ведь неправильно инструкции покажет, если ты неверное смещение выберешь",Есть вероятность
,,,"Но нопы мои
И начало шеллкода тоже верное
А дальше бред идёт
Вот так должно быть"
,,,"посмотри на шелкод сразу после вызова функции, которая его читает"
,,"посмотри на шелкод сразу после вызова функции, которая его читает",Смотрел
,,,"Всё ок
Там просто gets"
,,,"Ты наверное какие-то переменные на стеке своим шелкодом перетёр, а бинарь их поменял"
,,"Ты наверное какие-то переменные на стеке своим шелкодом перетёр, а бинарь их поменял",Там только 128(буффер с шеллкодом и нопами) + 8(rbp) + 8(rip)
,,,скинь бинарь
,,скинь бинарь,Pheonix stack 5
,скинь бинарь,Pheonix stack 5,это что
,,,всё больше и больше уважаю лурк
,,всё больше и больше уважаю лурк,внатуре крутой сайт
,,,"Мне лень его из виртуалки выдёргивать
Я всё что затираю, это rbp
Его шеллкод не использует
Щас попробую задампить его
На всякий
Всё равно иллегал
Ну блять"
,,,Заебал пывн
,,Заебал пывн,@uuuvndev
,,,"Пойду стегу решать
xD"
,,,(ну я про нти говорил а не то что рсош в принципе все первые уровни убрал у всех олимпиад)
,,(ну я про нти говорил а не то что рсош в принципе все первые уровни убрал у всех олимпиад),а
,,,А кто-то сравнивал iaito(с радарой) и cutter(с ризином) ? Что более стабильное ?
,,А кто-то сравнивал iaito(с радарой) и cutter(с ризином) ? Что более стабильное ?,"И то, и это гуи. Как по моему лучше пользоваться либо радаром, либо ризином в чистом виде. Самый стабильный вариант."
,А кто-то сравнивал iaito(с радарой) и cutter(с ризином) ? Что более стабильное ?,"И то, и это гуи. Как по моему лучше пользоваться либо радаром, либо ризином в чистом виде. Самый стабильный вариант.","мне гуи удобнее, потому что я рукожоп"
,,,Наверное наоборот
,,Наверное наоборот,что наоборот
,,,"А я понял
Я думал тип сравнивал iaito с радаром, а cutter с ризином"
,,"А я понял
Я думал тип сравнивал iaito с радаром, а cutter с ризином","обновил куттер, пофоиксили уже баги"
,,,и давно можно было открывать шеллкоды?
,,и давно можно было открывать шеллкоды?,"ок, теперь я не считаю куттер говном"
,и давно можно было открывать шеллкоды?,"ок, теперь я не считаю куттер говном",Подебажь в нем
и давно можно было открывать шеллкоды?,"ок, теперь я не считаю куттер говном",Подебажь в нем,теперь я могу эмулировать и ничего не крашится
"ок, теперь я не считаю куттер говном",Подебажь в нем,теперь я могу эмулировать и ничего не крашится,а баг со стрелочками так и не пофигсили
,,,Бля
,,Бля,"я понял в чём мем
у тебя шелкод на стеке
а ты пушишь на стек"
,,,"добавь в шелкод инструкцию, которая увеличивает или уменьшает rsp"
,,"добавь в шелкод инструкцию, которая увеличивает или уменьшает rsp",Я там сейф зону делал
,"добавь в шелкод инструкцию, которая увеличивает или уменьшает rsp",Я там сейф зону делал,что это
"добавь в шелкод инструкцию, которая увеличивает или уменьшает rsp",Я там сейф зону делал,что это,32 байта 0xCC
,,,"вначале шелкода
и тогда push не перетрёт его"
,,"вначале шелкода
и тогда push не перетрёт его","32 байта
Не помогло
Лан, хер с ним"
,"вначале шелкода
и тогда push не перетрёт его","32 байта
Не помогло
Лан, хер с ним",просто mprotectom -w сделал ?
"вначале шелкода
и тогда push не перетрёт его","32 байта
Не помогло
Лан, хер с ним",просто mprotectom -w сделал ?,На случай пуша
"32 байта
Не помогло
Лан, хер с ним",просто mprotectom -w сделал ?,На случай пуша,а как это поможет
просто mprotectom -w сделал ?,На случай пуша,а как это поможет,"Эмммм
Он их затирать будет
А не шеллкод
Щас даже ещё раз попробую"
На случай пуша,а как это поможет,"Эмммм
Он их затирать будет
А не шеллкод
Щас даже ещё раз попробую","но он же их затрёт и по ним пройдётся
и исполнит"
,,,"а там уже не 0xcc ,а гавно"
,,"а там уже не 0xcc ,а гавно",Так они не нужны
,,,"Там может быть что угодно
CC для удобства"
,,,так он их перетрёт гавном и это гавно исполнится
,,так он их перетрёт гавном и это гавно исполнится,Так он до них не дойдёт
,,,а гавно != валидные инструкции
,,а гавно != валидные инструкции,"Там execve
Ну, я твою мысль понял, сейчас ещё немного подебажу
Мб ему даже 32 байт мало"
,,,"добавь просто sub rsp, 0x2000 вначало шелкода"
,,"добавь просто sub rsp, 0x2000 вначало шелкода",Вообще нихуя не поменялось
,"добавь просто sub rsp, 0x2000 вначало шелкода",Вообще нихуя не поменялось,Покажи эксплойт
"добавь просто sub rsp, 0x2000 вначало шелкода",Вообще нихуя не поменялось,Покажи эксплойт,"from pwn import *
import sys

SHELLCODE = b'\x48\x81\xec\x00\x20\x00\x00\x50\x48\x31\xd2\x48\x31\xf6\x48\xbb\x2f\x62\x69\x6e\x2f\x2f\x73\x68\x53\x54\x5f\xb0\x3b\xcc\xcd\x80\xcc'
SHELLCODE = b'\x90' * (128 - len(SHELLCODE)) + SHELLCODE

RBP = p64(0x7fffffffe640)
RIP = p64(0x7fffffffe5c0)

payload = SHELLCODE + RBP + RIP

sys.stdout.buffer.write(payload)"
