context_3,context_2,context_1,response
"Потому что 
Я так захотела","это, кстати, называется синдромом вахтёра",Ну мы в состоянии поддерживать необходимый уровень токсичности)),
,,,Хорошо
,,Хорошо,можете ещё обезьянку вот такую добавить в правила 🙈
,Хорошо,можете ещё обезьянку вот такую добавить в правила 🙈,"Если мне сейчас нет 18, а на момент финала будет 18, то какие согласия заполнять?"
Хорошо,можете ещё обезьянку вот такую добавить в правила 🙈,"Если мне сейчас нет 18, а на момент финала будет 18, то какие согласия заполнять?",Позвони на горячую линию
можете ещё обезьянку вот такую добавить в правила 🙈,"Если мне сейчас нет 18, а на момент финала будет 18, то какие согласия заполнять?",Позвони на горячую линию,"Никто это никогда не замечал?
а ещё прикол"
,,,Рекурсия
,,Рекурсия,скорее шиза
,Рекурсия,скорее шиза,
,,,Данный участник через 3... 2... 1...
,,,юмарно
,,,"чатом ошибся, тебе в олимппрогу"
,,"чатом ошибся, тебе в олимппрогу","я отсортирую вам массив по O(1), только сразу отсортированный массив дайте)"
,"чатом ошибся, тебе в олимппрогу","я отсортирую вам массив по O(1), только сразу отсортированный массив дайте)",лучший алгоритм сортировки - это Bogosort и это не обсуждается
"чатом ошибся, тебе в олимппрогу","я отсортирую вам массив по O(1), только сразу отсортированный массив дайте)",лучший алгоритм сортировки - это Bogosort и это не обсуждается,а как же квантовая случайная сортировка….
,,,"Забавно
Но на пыхе некоторые реально решают олимпиады(("
,,"Забавно
Но на пыхе некоторые реально решают олимпиады((",Да у меня сокомандник помешан на пыхе
,,,"тебе в АБП*
они точно оценят прикол про 1С"
,,"тебе в АБП*
они точно оценят прикол про 1С","Он на ней егэ будет писать, я уверен"
,"тебе в АБП*
они точно оценят прикол про 1С","Он на ней егэ будет писать, я уверен",Чзх Влад Ростков пишет ЕГЭ
"тебе в АБП*
они точно оценят прикол про 1С","Он на ней егэ будет писать, я уверен",Чзх Влад Ростков пишет ЕГЭ,"Именно это я и сказал на собесе
Мы потом про асимптотику алгоритмов с ним болтали"
"Он на ней егэ будет писать, я уверен",Чзх Влад Ростков пишет ЕГЭ,"Именно это я и сказал на собесе
Мы потом про асимптотику алгоритмов с ним болтали","готов поспорить, что сортировка по времени в некоторых случаях работает быстрее"
,,,"""Лучший алгоритм - тот, которого не было"" ©️Сунь-цзы(Почти)"
,,"""Лучший алгоритм - тот, которого не было"" ©️Сунь-цзы(Почти)","почему же, Bogosort - вполне себе алгоритм"
,,,"Подписываю петицию, за что вы так с ним"
,,"Подписываю петицию, за что вы так с ним",Злой был. Матерился. Нарушал правила чата.
,,,"Грубил
Глупил
А может быть грустил
Создавал потенциальное зло"
,,"Грубил
Глупил
А может быть грустил
Создавал потенциальное зло",Это все ложь и провокация
,,,Докажи
,,Докажи,Также в учебниках по матану:
,,,Я то может быть и поверю
,,,Но по факту тебе нужно будет доказывать самому многоуважаемому человеку в этом чате
,,Но по факту тебе нужно будет доказывать самому многоуважаемому человеку в этом чате,мне
,,,Этому человеку будет сложно что-то доказать
,,Этому человеку будет сложно что-то доказать,Он всегда прав
,,,Это аксиома
,,Это аксиома,"Презумпция невиновности была сформулированна в 1789.
Люди в 1788:"
,,,Ребятишки всем привет
,,Ребятишки всем привет,
,,,😘😘😘
,,😘😘😘,с возвращением
,,,А где финал будет проходить/где жить будем ?
,,А где финал будет проходить/где жить будем ?,"Финал в МИФИ, место проживания орги ещё не говорили вроде"
,А где финал будет проходить/где жить будем ?,"Финал в МИФИ, место проживания орги ещё не говорили вроде",Спасибо
,,,Можно площадку мне домой перенести?
,,,"А можно в аренду сдать место проживания, а самому на улице ночевать?"
,,"А можно в аренду сдать место проживания, а самому на улице ночевать?",Нельзя покидать площадку
,"А можно в аренду сдать место проживания, а самому на улице ночевать?",Нельзя покидать площадку,Так а кто говорил про это
"А можно в аренду сдать место проживания, а самому на улице ночевать?",Нельзя покидать площадку,Так а кто говорил про это,"А кто говорил, что он собирается покидать площадку*?"
Нельзя покидать площадку,Так а кто говорил про это,"А кто говорил, что он собирается покидать площадку*?",На улицу - покинуть площадку
Так а кто говорил про это,"А кто говорил, что он собирается покидать площадку*?",На улицу - покинуть площадку,ну можно же на территории площадки быть )
,,,Приехать на НТО и ещё и заработать
,,Приехать на НТО и ещё и заработать,в заявлении
,,,"И че получается, нам 5 дней в хате сидеть?"
,,"И че получается, нам 5 дней в хате сидеть?",*на
,,,Не не считая передвижения в сам мифи
,,Не не считая передвижения в сам мифи,на площадке*
,Не не считая передвижения в сам мифи,на площадке*,А ещё как-то можно добрать участников?
Не не считая передвижения в сам мифи,на площадке*,А ещё как-то можно добрать участников?,"из тех, кто в тиме <4 человек"
,,,"у нас просто 2 из тимы ушли, предпочли всерос"
,,"у нас просто 2 из тимы ушли, предпочли всерос",а он же не пересекается
,,,когда откроется командообразование????
,,когда откроется командообразование????,Алексей Егоров лучший
,,,"в общем если кто-то знает как попасть или кому нужна тима, то 2 места есть"
,,"в общем если кто-то знает как попасть или кому нужна тима, то 2 места есть",.
,,,всерос бывает не только по иб
,,всерос бывает не только по иб,а зачем тогда нужен такой всерос?
,,,не ну кроме всероса по иб можно и в других участвовать
,,не ну кроме всероса по иб можно и в других участвовать,Фи
,не ну кроме всероса по иб можно и в других участвовать,Фи,φ
не ну кроме всероса по иб можно и в других участвовать,Фи,φ,δ
,,,"Вы говорите мерзкие вещи, сударь"
,,"Вы говорите мерзкие вещи, сударь","я бы сказал, что является более мерзкими вещами, но не буду"
,"Вы говорите мерзкие вещи, сударь","я бы сказал, что является более мерзкими вещами, но не буду",Ну я думаю что про стегу от креветки и так все знают
"Вы говорите мерзкие вещи, сударь","я бы сказал, что является более мерзкими вещами, но не буду",Ну я думаю что про стегу от креветки и так все знают,
,,,А когда будет какая нибудь инфа про финал? Формат и тд
,,А когда будет какая нибудь инфа про финал? Формат и тд,"НТИ не будет, я отменил"
,,,на финале скорее всего
,,на финале скорее всего,
,на финале скорее всего,,🤓
,,,Ну нам на ИИ скинули инфу за несколько дней до начала
,,Ну нам на ИИ скинули инфу за несколько дней до начала,а какие мед документы нужны будут?
,,,ты нарушаешь 2 правило
,,ты нарушаешь 2 правило,а ты первое
,,,ни в коем случае
,,ни в коем случае,"Всем привет, уже есть расписание по дням? Заранее спасибо за ответ"
,,,"20 прилет
21 индивид
22 индивид
23 команд
24 команд + резы
25 улет
обычно вот так"
,,"20 прилет
21 индивид
22 индивид
23 команд
24 команд + резы
25 улет
обычно вот так","20 прилет
21 индивид
22 команд
23 команд
24 разбор + резы
25 улет (полный)"
,"20 прилет
21 индивид
22 индивид
23 команд
24 команд + резы
25 улет
обычно вот так","20 прилет
21 индивид
22 команд
23 команд
24 разбор + резы
25 улет (полный)",Билеты надо самостоятельно брать или нто оплатит?
,,,Можно без прилёта 🥺
,,,главное чтобы не залет
,,главное чтобы не залет,"Ну вот, я хотел так пошутить"
,главное чтобы не залет,"Ну вот, я хотел так пошутить",Тормознутый
,,,"чзх, пывнхакер робот кошкодевочка"
,,,"а ты не грусти
а то тоже забанят"
,,"а ты не грусти
а то тоже забанят","Да я не грущу, просто хочу исполнения правил"
,,,"Слышь, ты щас договоришься"
,,"Слышь, ты щас договоришься",@ShadarRim
,"Слышь, ты щас договоришься",@ShadarRim,"О, это же Алексей Егоров!"
,,,"ты смотри.
Похож на грустного"
,,"ты смотри.
Похож на грустного",Как же он популярен..
,"ты смотри.
Похож на грустного",Как же он популярен..,☹
,,,Будет можно с сокомандниками своими жить?
,,Будет можно с сокомандниками своими жить?,Предупреждение. Пункт 2 правил под угрозой нарушения.
,Будет можно с сокомандниками своими жить?,Предупреждение. Пункт 2 правил под угрозой нарушения.,можно ответ на вопрос?
Будет можно с сокомандниками своими жить?,Предупреждение. Пункт 2 правил под угрозой нарушения.,можно ответ на вопрос?,А на какой?
,,,the most straight nto member
,,,Я не хочу с тобой жить
,,Я не хочу с тобой жить,Неважно
,,,😏
,,😏,ну кстати не сириус ведь
,,,какие мед документы потребуются?
,,какие мед документы потребуются?,"Что проектный офис требует,  то и нужно. Мы сверх ничего не просим."
,какие мед документы потребуются?,"Что проектный офис требует,  то и нужно. Мы сверх ничего не просим.",Те ничего?
какие мед документы потребуются?,"Что проектный офис требует,  то и нужно. Мы сверх ничего не просим.",Те ничего?,"ну там только то, что на сайте написано"
,,,У всех же пока так и кнопка финал не тыкабельна?
,,У всех же пока так и кнопка финал не тыкабельна?,у меня - да
,,,кстати будет ли какая-то предметная часть?
,,кстати будет ли какая-то предметная часть?,Мат и инф
,кстати будет ли какая-то предметная часть?,Мат и инф,Мат Легаля сойдёт? 🥺
,,,шло 3ее марта
,,шло 3ее марта,"да, нет?"
,шло 3ее марта,"да, нет?","будет
математика и информатика"
шло 3ее марта,"да, нет?","будет
математика и информатика",а где инфу чекнуть
"да, нет?","будет
математика и информатика",а где инфу чекнуть,офф не знаю
"будет
математика и информатика",а где инфу чекнуть,офф не знаю,В регламенте
а где инфу чекнуть,офф не знаю,В регламенте,регламент скоре всего)
офф не знаю,В регламенте,регламент скоре всего),"Ок
Спс"
,,,"Во сколько 25-го надо уезжать, и какой вокзал будет ближе всего?"
,,"Во сколько 25-го надо уезжать, и какой вокзал будет ближе всего?",уезжать можно 24 вечером или 25 утром
,"Во сколько 25-го надо уезжать, и какой вокзал будет ближе всего?",уезжать можно 24 вечером или 25 утром,А для этого нужны документы какие то?(участнику 18+)
"Во сколько 25-го надо уезжать, и какой вокзал будет ближе всего?",уезжать можно 24 вечером или 25 утром,А для этого нужны документы какие то?(участнику 18+),Это не к нам. Нам просто сообщат ваше время трансфера.
уезжать можно 24 вечером или 25 утром,А для этого нужны документы какие то?(участнику 18+),Это не к нам. Нам просто сообщат ваше время трансфера.,Тоже позвонить?
,,,"С вами проектный офис должен будет связаться и урегулировать эти вопросы. 

Билеты покупает регион или проектный офис."
,,,"Коллеги, кто один и у кого команды по два-три человека, пожалуйста, найдите друг друга, чтобы команда состояла из четырех человек
Если у вас это получится, то пишите мне в личные сообщения, кто к какой команде присоединяется"
,,"Коллеги, кто один и у кого команды по два-три человека, пожалуйста, найдите друг друга, чтобы команда состояла из четырех человек
Если у вас это получится, то пишите мне в личные сообщения, кто к какой команде присоединяется","#ИщуУчастников
Нужно 2 человека 8-9 класс. Пишите в ЛС."
,,,Обязательно? Нам втроём хорошо.
,,Обязательно? Нам втроём хорошо.,Обязательно
,Обязательно? Нам втроём хорошо.,Обязательно,"А что будет если не получится найти чела? У нас свои требования к скиллам есть, мы не хотим с рандомом выступать."
,,,"может можно табличку какую-нибудь создать, чтобы объединиться?"
,,"может можно табличку какую-нибудь создать, чтобы объединиться?",в прошлом году вроде было не обязательно
,"может можно табличку какую-нибудь создать, чтобы объединиться?",в прошлом году вроде было не обязательно,А разделится?
,,,Можно ли выгнать участника из команды голосованием
,,Можно ли выгнать участника из команды голосованием,"ээ, кого"
,,,"да
я хочу чтобы меня выгнали"
,,"да
я хочу чтобы меня выгнали",Всем пофиг
,,,когда откроют командообразование???
,,когда откроют командообразование???,Открылось)
,,,и как оно устроено
,,и как оно устроено,устроено
,,,"Как - произвольно. 
Сейчас можно меняться, как нужно. Сообщить Анне."
,,"Как - произвольно. 
Сейчас можно меняться, как нужно. Сообщить Анне.","да, было бы круто, если бы я знал, кто есть анна, жаль, что админам не обязательно ставить ФИ вместо ника..."
,,,"а, все через админов"
,,,"если в тиме часть людей из 10, часть из 11, будут ли как-то отличаться задания в зависимости от класса?"
,,"если в тиме часть людей из 10, часть из 11, будут ли как-то отличаться задания в зависимости от класса?",Там разделение 8-9 10-11 так что один
,,,всегда есть вариант потерпеть
,,всегда есть вариант потерпеть,"Ребят, вроде всем, кто писал, ответила

Просьба писать в формате:
- название команды
- что меняется
- итоговый состав команды
Если, кто-то знает участника с ником Альфия, который подал заявку на вступление, сообщите, что нужно переименоваться"
,,,"Коллеги, информация в лк по командам не имеет смысла. Мы ведём ручной учёт."
,,"Коллеги, информация в лк по командам не имеет смысла. Мы ведём ручной учёт.",
,,,"Пожалуйста, по одному представителю от каждой команды напишите мне в личные сообщения состав вашей команды
Те, кто уже писал, не нужно"
,,"Пожалуйста, по одному представителю от каждой команды напишите мне в личные сообщения состав вашей команды
Те, кто уже писал, не нужно",Это ко всем командам относится? @mazikee_n
,"Пожалуйста, по одному представителю от каждой команды напишите мне в личные сообщения состав вашей команды
Те, кто уже писал, не нужно",Это ко всем командам относится? @mazikee_n,да
,,,это просто верх учёта и менеджмента
,,,сообщение в группе в телеграме без уведомлений обязательно все прочитают
,,сообщение в группе в телеграме без уведомлений обязательно все прочитают,"Нам сейчас это не горит. Мы уверены,  что итоговые команды будут понятны только при очной встрече, особенно с учётом того, что ещё будут отказы."
,,,"Вообще все, не только не которые меняют состав?"
,,"Вообще все, не только не которые меняют состав?",да
,,,чтобы была актуальная информация
,,,Не все доедут
,,Не все доедут,Не все уедут
,Не все доедут,Не все уедут,"В прошлом году никто не уехал бы((
Сириус..."
,,,Все
,,,Выживут лишь единицы
,,Выживут лишь единицы,И нолики
,,,Ну пока выбыло 8 человек. Из 122.
,,Ну пока выбыло 8 человек. Из 122.,Наверное из-за организации дат финалов
,Ну пока выбыло 8 человек. Из 122.,Наверное из-за организации дат финалов,"Та нет. Это каждый год так. Пока меньше 10% даже. Это даже хорошо. 

Мы когда пропускали 122 рассчитывали, что останется 100 в итоге."
,,,Пруфы по 1 пункту ждём
,,Пруфы по 1 пункту ждём,Такие у каждого чела в тиме есть!)
,Пруфы по 1 пункту ждём,Такие у каждого чела в тиме есть!),
,,,шутки про девочек и иб неактуальны после финала иннопы
,,шутки про девочек и иб неактуальны после финала иннопы,Реально
,,,Инопа это кринж
,,Инопа это кринж,Зато стега классная
,Инопа это кринж,Зато стега классная,😀
Инопа это кринж,Зато стега классная,😀,+ стик
Зато стега классная,😀,+ стик,стик фингер?
,,,Блин я рефлекторно чуть телефон не ударил
,,Блин я рефлекторно чуть телефон не ударил,Акуратно
,,,У нас у всех есть
,,У нас у всех есть,А у Алекса
,У нас у всех есть,А у Алекса,У него настоящие и так есть
,,,это не стик
,,это не стик,Вот это ребята напряглись
,,,"Будем соревноваться против дизайнеров, норм"
,,"Будем соревноваться против дизайнеров, норм","а мы все можем, и в дизайн, и в инфобез"
,,,"Так ситуация пипец, бойца потеряли, срочно человек 4й нужен"
,,,когда говорят что отыграли много ктф говорят хотяб какие
,,когда говорят что отыграли много ктф говорят хотяб какие,"Дефкон, блекохет, гугл"
,,,спасибо за идею)
,,,Вопросы?
,,Вопросы?,Да есть. Сколько ваша команда уже перевела админам на карту
,Вопросы?,Да есть. Сколько ваша команда уже перевела админам на карту,"Не знаю сколько они кинули, но я готов кинуть в два раза больше"
,,,дефолт
,,дефолт,я думал уже реклама
,,,"сегодня он ищет человека в команду для ктф, а завтра — воркера в скам тиму"
,,"сегодня он ищет человека в команду для ктф, а завтра — воркера в скам тиму","Ни на что не намекаю, но опыт работы имеется, навыки присутствует"
,"сегодня он ищет человека в команду для ктф, а завтра — воркера в скам тиму","Ни на что не намекаю, но опыт работы имеется, навыки присутствует",Значит договоримся)
,,,"Нужен ответственный парень
Желательно с маленькой лопаткой"
,,"Нужен ответственный парень
Желательно с маленькой лопаткой",Авито 3.0 🤯🤯🤯
,"Нужен ответственный парень
Желательно с маленькой лопаткой",Авито 3.0 🤯🤯🤯,И без кредитных задолженностей
,,,"Есть информация, когда заезд и где будем жить на финале?"
,,"Есть информация, когда заезд и где будем жить на финале?","Нет, сказали будет на след. неделе"
,,?,На карту? Онли крипта...
,,,-1
,,-1,Ууууу
,,,Ну тогда у вас шансов на призерство нет
,,Ну тогда у вас шансов на призерство нет,щас тебя на ошибке поймают
,Ну тогда у вас шансов на призерство нет,щас тебя на ошибке поймают,Хз хз
,,,"Админы говорили что я плотно рофлю
Мне можно"
,,,"я про то, что они могут спокойно написать что-то типо : кнчн призёрство мы не возьмём т.к просто победим"
,,"я про то, что они могут спокойно написать что-то типо : кнчн призёрство мы не возьмём т.к просто победим",Реально
,,,Да на победу уж тем более
,,Да на победу уж тем более,"Поздно, мы победители"
,,,"Не видитесь на фишинг. Админы денег не берут.

Кто деньги перевёл - тот не ибшник."
,,"Не видитесь на фишинг. Админы денег не берут.

Кто деньги перевёл - тот не ибшник.",Все еще актуально
,,,"Вопрос
Мы со своими ноутами будем на финале?"
,,"Вопрос
Мы со своими ноутами будем на финале?",Нет. Своим пользоваться нельзя
,,,"На сайте сказано же, что предоставят вместе с ПО"
,,,Хотя я бы не стал им доверять и пронёс бы свой Core 2 duo
,,Хотя я бы не стал им доверять и пронёс бы свой Core 2 duo,Pentium III не забудь.
,,,"А тебя все равно обяжут их ноутами пользоваться, мол ""Все равны"" xd"
,,"А тебя все равно обяжут их ноутами пользоваться, мол ""Все равны"" xd","На очном финале прошлом были их ноуты
1 норм и 3 куска"
,"А тебя все равно обяжут их ноутами пользоваться, мол ""Все равны"" xd","На очном финале прошлом были их ноуты
1 норм и 3 куска",Куска чего
"А тебя все равно обяжут их ноутами пользоваться, мол ""Все равны"" xd","На очном финале прошлом были их ноуты
1 норм и 3 куска",Куска чего,Просто куска
"На очном финале прошлом были их ноуты
1 норм и 3 куска",Куска чего,Просто куска,картона
,,,нарушение правила 1
,,нарушение правила 1,Первое правило бойцовского клуба
,,,Кому он нагрубил? Мне он очень даже приятно сделал
,,Кому он нагрубил? Мне он очень даже приятно сделал,господин в видео моему сыну
,Кому он нагрубил? Мне он очень даже приятно сделал,господин в видео моему сыну,У тебя сын? Как время быстро летит
,,,А ты купи ему комп
,,А ты купи ему комп,Какого бойцовского клуба?
,А ты купи ему комп,Какого бойцовского клуба?,Ой точно
,,,А можно ли принести загрузочную флешку?
,,А можно ли принести загрузочную флешку?,@ShadarRim
,,,Только если на ней Red OS
,,,"Моя команда собирается приехать в масках анонимусов, я ничего с этим поделать не могу"
,,"Моя команда собирается приехать в масках анонимусов, я ничего с этим поделать не могу",можно пойти дальше и сделать как эта команда
,"Моя команда собирается приехать в масках анонимусов, я ничего с этим поделать не могу",можно пойти дальше и сделать как эта команда,"Странно, у кого-то прямоугольники, а у кого-то трапеция"
"Моя команда собирается приехать в масках анонимусов, я ничего с этим поделать не могу",можно пойти дальше и сделать как эта команда,"Странно, у кого-то прямоугольники, а у кого-то трапеция","Какой прямоугольник, это перплексус, дурачьё"
можно пойти дальше и сделать как эта команда,"Странно, у кого-то прямоугольники, а у кого-то трапеция","Какой прямоугольник, это перплексус, дурачьё",А точно забыл
,,,"Тут кто-то с ушками собирался, норм"
,,"Тут кто-то с ушками собирался, норм","а кстати, где их можно купить, если не на Али?"
,"Тут кто-то с ушками собирался, норм","а кстати, где их можно купить, если не на Али?",в этажах :D
,,,адалдеть что я нашел. у меня оказывается есть автограф легенды
,,адалдеть что я нашел. у меня оказывается есть автограф легенды,"Егоров АД
Понятно, что будет на финале
Я там наклейки купил на ноут, тоооп"
,,,Найти девушек?
,,Найти девушек?,Трапануться
,Найти девушек?,Трапануться,
Найти девушек?,Трапануться,,
,,,Это слишком
,,Это слишком,АХАХАХАХАХАХАХАХ
,Это слишком,АХАХАХАХАХАХАХАХ,0_o
,,,Он имел ввиду попасть в ловушку
,,Он имел ввиду попасть в ловушку,Ловушка=trap=трап
,,,пхпххпппх
,,,"Нет, равные условия надо поддерживать."
,,"Нет, равные условия надо поддерживать.",Я тоже могу принести флешку чтобы все были равны
,"Нет, равные условия надо поддерживать.",Я тоже могу принести флешку чтобы все были равны,+
,,,Вы могучи!
,,Вы могучи!,Жители города Могуч?
,,,Что бы это не значило
,,Что бы это не значило,Ямагучи
,Что бы это не значило,Ямагучи,"Кстати да!

Дорогие девушки, с праздником вас!

Даже если вас мало - для нас вы всё равно половина."
Что бы это не значило,Ямагучи,"Кстати да!

Дорогие девушки, с праздником вас!

Даже если вас мало - для нас вы всё равно половина.",Поздравляю всех участников чата нто-2023 с праздником
,,,Правки)
,,Правки),Это судорожно
,,,Я всем подругам поздравление через нейронку писал
,,Я всем подругам поздравление через нейронку писал,Вы гений! Представляю как вы на первое свидание с помощью нейронки пойдёте...
,Я всем подругам поздравление через нейронку писал,Вы гений! Представляю как вы на первое свидание с помощью нейронки пойдёте...,Когда заранее нагенерил ответы на все её фразы на свидании
Я всем подругам поздравление через нейронку писал,Вы гений! Представляю как вы на первое свидание с помощью нейронки пойдёте...,Когда заранее нагенерил ответы на все её фразы на свидании,
,,,Лицо можно через миджорни если что
,,Лицо можно через миджорни если что,можно дипфейк сделать
,,,Написал промпт в чатгпт. Чел харош. А теперь слабо написать девушке
,,,"Ну кстати про миджорни

Это же просто лишает работы кучу дизайнеров..."
,,"Ну кстати про миджорни

Это же просто лишает работы кучу дизайнеров...","нууу не совсем
я предполагаю, что даже если нейросетки и используют, то для каких-то деталей, но общую картину всё-таки делает человек"
,"Ну кстати про миджорни

Это же просто лишает работы кучу дизайнеров...","нууу не совсем
я предполагаю, что даже если нейросетки и используют, то для каких-то деталей, но общую картину всё-таки делает человек",Это примеры сгенереные нейронкой по ключевым словам
"Ну кстати про миджорни

Это же просто лишает работы кучу дизайнеров...","нууу не совсем
я предполагаю, что даже если нейросетки и используют, то для каких-то деталей, но общую картину всё-таки делает человек",Это примеры сгенереные нейронкой по ключевым словам,"ну смотрите
допустим Вам нужен дизайн сайта
Вы возьмёте эти картинки, но все остальное (макет, цвета и т.д.) продумаете сами
нейронка просто несколько облегчает процесс рисовки"
,,,Ну они для постобработки пока что нужны
,,Ну они для постобработки пока что нужны,Не особо. Что-то конкретное сложно загенерить пока. Тот же дизайн не так работает.
,,,Ключевые слова придумал человек
,,Ключевые слова придумал человек,Вбить в ChatGPT
,,,А может лучше?
,,А может лучше?,легендарно
,,,А можно?
,,А можно?,Тебе нет
,А можно?,Тебе нет,Важный важный
,,,>сгенерил себе идеальную девушку с помощью нейросетки
,,>сгенерил себе идеальную девушку с помощью нейросетки,с таким развитием событий можно почувствовать себя тем самым безработным дизайнером(((
,,,"Зачем девушка, если есть нейросети"
,,"Зачем девушка, если есть нейросети",ТНН на новом уровне
,,,"Ало что происходит, с каких пор ИБ комунити обсуждает девушек и гетеро пары. Где те самые настоящие мужские разговоры про гачи и милых кунчиков?!"
,,"Ало что происходит, с каких пор ИБ комунити обсуждает девушек и гетеро пары. Где те самые настоящие мужские разговоры про гачи и милых кунчиков?!",Ньюфаги
,,,Это позеры просто
,,Это позеры просто,Я так и понял
,,,Не трушные ибшники
,,Не трушные ибшники,В нкн такого нет если что
,Не трушные ибшники,В нкн такого нет если что,У нас все нормальные
,,,Звучит как реклама
,,Звучит как реклама,Я уже Смешарик
,Звучит как реклама,Я уже Смешарик,"Поздравьте меня, я, спустя 3 дня мучений, переустановил винду
Оказалось образ livecd был кривой 😔"
Звучит как реклама,Я уже Смешарик,"Поздравьте меня, я, спустя 3 дня мучений, переустановил винду
Оказалось образ livecd был кривой 😔","Хм как бы поздравить без пассивной агрессии
Точнее не так
Как бы поздравить с пассивной агрессией, чтоб не забанили
Расскажи про Алексея Егорва и оно даст ответ"
,,,Скажите что вбить
,,Скажите что вбить,"Алексей Егоров
Заместитель руководителя Студенческого офиса НИЯУ МИФИ, исследователь в сфере информационных технологий, кроме того занимаюсь со школьниками и студентами электроникой и программированием, а со студентами развитием сети студенческих научных обществ и самоуправления"
,Скажите что вбить,"Алексей Егоров
Заместитель руководителя Студенческого офиса НИЯУ МИФИ, исследователь в сфере информационных технологий, кроме того занимаюсь со школьниками и студентами электроникой и программированием, а со студентами развитием сети студенческих научных обществ и самоуправления","Хммм, можно сократить до слова мифи и вся суть будет раскрыта"
,,,Тут такое не принято говорить
,,Тут такое не принято говорить,"Блин, получилась пассивная агрессия по отношению к организатору... Я если что не специально."
,,,AMD в лс
,,AMD в лс,Ахххахахза
,AMD в лс,Ахххахахза,Chatgpt умеет интриговать
AMD в лс,Ахххахахза,Chatgpt умеет интриговать,Ахаххахахахахах
,,,"Из классики.
Всё, что есть хорошего в работе безопасника либо незаконно, либо неэтично, либо заканчивается увольнением"
,,"Из классики.
Всё, что есть хорошего в работе безопасника либо незаконно, либо неэтично, либо заканчивается увольнением",Звучит грустно
,"Из классики.
Всё, что есть хорошего в работе безопасника либо незаконно, либо неэтично, либо заканчивается увольнением",Звучит грустно,Норм
,,,Не идите на безопасность
,,Не идите на безопасность,"А кто сказал, что я иду? Хаахх"
,,,Я даже не знаю как сюда попала
,,Я даже не знаю как сюда попала,
,Я даже не знаю как сюда попала,,Пхахахха
,,,"чтобы получить справку для школы, нужно какую-то дополнительную форму заполнять?"
