context_3,context_2,context_1,response
,,,"И будет ли в номере чайник, чтобы делать чай?"
,,"И будет ли в номере чайник, чтобы делать чай?","Армуду я и сам привезти смогу, но вот чайник важная вещь"
,,,сделаем из стульев сами
,,сделаем из стульев сами,считаю нужно устроить турнир
,сделаем из стульев сами,считаю нужно устроить турнир,Присоединяюсь к вопросу
,,,Тегать оргов вечером не хочется(
,,Тегать оргов вечером не хочется(,Ещё бы про фен узнать
,,,Придется запастись термосами и из СПБ вести чай
,,Придется запастись термосами и из СПБ вести чай,Нужно будет привезти черный и зеленый чай
,,,"Зеленый на завтрак, черный на обед и ужин"
,,"Зеленый на завтрак, черный на обед и ужин",устраиваем турнир? принимаю ставки
,,,Готовим анекдоты про армян и нарды
,,Готовим анекдоты про армян и нарды,Готовим мерч Тинькоффа
,Готовим анекдоты про армян и нарды,Готовим мерч Тинькоффа,Тащим по 5 футболок с аджики
,,,на награждении по анекдоту
,,,Ещё вопросы есть?
,,Ещё вопросы есть?,Есть ли доступ к качалке
,,,мне кажется стоит тегнуть оргов сразу
,,мне кажется стоит тегнуть оргов сразу,"Можно на утро поставить сообщение
И ВК"
,,,мне кажется на второй вопрос точно нет
,,мне кажется на второй вопрос точно нет,На награждении были некоторые игры (в прошлом году)
,,,И столик для армрестлинга
,,И столик для армрестлинга,Я готов забиться
,,,Будет ли штанга в отеле?
,,,спроси еще как будет производиться разделение по комнатам?
,,спроси еще как будет производиться разделение по комнатам?,думаю ничего такого не будет если кто то махнется номерами
,спроси еще как будет производиться разделение по комнатам?,думаю ничего такого не будет если кто то махнется номерами,Там вроде как при заселении определяется. По идее 2 человека в одном номере из одной команды
,,,"поставил тег на 9.30 завтра
Пишите все вопросы у кого есть"
,,"поставил тег на 9.30 завтра
Пишите все вопросы у кого есть","разделение по командам?
так у нас есть уже всм"
,,,или ты про тех кто один остался
,,или ты про тех кто один остался,Так никто официально ещё не в команде
,,,"А
Понял"
,,"А
Понял",Платформа НТО не считается
,"А
Понял",Платформа НТО не считается,полный дисквал
"А
Понял",Платформа НТО не считается,полный дисквал,Расписание бы получить уже от оргов
,,,а кому то приходило письмо с расписанием самого финала и где он будет проходить в Москве?
,,а кому то приходило письмо с расписанием самого финала и где он будет проходить в Москве?,вроде нет
,,,не
,,,"кайф, осталось 5 дней"
,,"кайф, осталось 5 дней",начинаем готовиться
,"кайф, осталось 5 дней",начинаем готовиться,Скорее кайфовать
,,,"Крепись духом
А лучше учись печь пироги"
,,,Есть шанс ребят за 5 дней подготовиться на победу если из нейронок шаришь только за импорт торча?
,,Есть шанс ребят за 5 дней подготовиться на победу если из нейронок шаришь только за импорт торча?,Keras за 2 дня научись
,,,Или стоит лучше пироги научиться готовить
,,Или стоит лучше пироги научиться готовить,Учись готовить пахлаву
,Или стоит лучше пироги научиться готовить,Учись готовить пахлаву,И в нарды играть?
Или стоит лучше пироги научиться готовить,Учись готовить пахлаву,И в нарды играть?,Да
,,,"Если ты хорошо обучаем, то можно и на финале выйти в призеры"
,,"Если ты хорошо обучаем, то можно и на финале выйти в призеры","Хочешь ты меня пообучаешь на победу, а я тебе пироги буду готовить?"
,"Если ты хорошо обучаем, то можно и на финале выйти в призеры","Хочешь ты меня пообучаешь на победу, а я тебе пироги буду готовить?","Смотри, в прошлом году для призера нужно было немного покрутить бейз"
,,,"Но на победа сложна
В целом, для победы достаточно уметь читать документации"
,,,"Сорян, я дорого беру"
,,"Сорян, я дорого беру",4 праги?
,,,Два торта
,,,20 селедок под шубой и 5 хуплу
,,20 селедок под шубой и 5 хуплу,Это за все дни?
,20 селедок под шубой и 5 хуплу,Это за все дни?,За одно занятие
,,,"В отеле 100% есть качалка, не зажмут нам штанги тут другой вопрос
Pytorch как по маслу пойдет"
,,"В отеле 100% есть качалка, не зажмут нам штанги тут другой вопрос
Pytorch как по маслу пойдет","Вроде пришла инфа по орг вопросам. Отель Бега - фен был, чайник и качалка тоже
Кто во сколько приезжает?"
,"В отеле 100% есть качалка, не зажмут нам штанги тут другой вопрос
Pytorch как по маслу пойдет","Вроде пришла инфа по орг вопросам. Отель Бега - фен был, чайник и качалка тоже
Кто во сколько приезжает?",8+-
"В отеле 100% есть качалка, не зажмут нам штанги тут другой вопрос
Pytorch как по маслу пойдет","Вроде пришла инфа по орг вопросам. Отель Бега - фен был, чайник и качалка тоже
Кто во сколько приезжает?",8+-,"почему профиль наносистемы и наноинженерия?
опечатка?"
"Вроде пришла инфа по орг вопросам. Отель Бега - фен был, чайник и качалка тоже
Кто во сколько приезжает?",8+-,"почему профиль наносистемы и наноинженерия?
опечатка?","Да
Это другой профиль"
8+-,"почему профиль наносистемы и наноинженерия?
опечатка?","Да
Это другой профиль",Тебе такой же пришел?
"почему профиль наносистемы и наноинженерия?
опечатка?","Да
Это другой профиль",Тебе такой же пришел?,"Нет
У меня все норм позвони туда"
"Да
Это другой профиль",Тебе такой же пришел?,"Нет
У меня все норм позвони туда","хорошо
понятненько"
Тебе такой же пришел?,"Нет
У меня все норм позвони туда","хорошо
понятненько",ну монета точно не знает
,,,А можно будет позже приехать (я в Москву прилетаю вечером) ?
,,А можно будет позже приехать (я в Москву прилетаю вечером) ?,"26-го? Да, конечно, там все будут в разное время приезжать, в зависимости от рейсов. Главное синхронизируйтесь с коллегами через колл-центр, чтобы никого не потеряли"
,,,А стиральная машинка?
,,А стиральная машинка?,Ахахаахх
,А стиральная машинка?,Ахахаахх,мы все здесь машины
,,,А можно предметку не решать?
,,А можно предметку не решать?,"Не, ну 5/100 по инфе лишними не будут"
,,,+++
,,+++,можешь пустой лист сдать
,+++,можешь пустой лист сдать,":)))
Правильно"
,,,А предметка идёт в общий зачёт?
,,А предметка идёт в общий зачёт?,Предметка влияет на статус призера и победителя
,А предметка идёт в общий зачёт?,Предметка влияет на статус призера и победителя,Как именно?
А предметка идёт в общий зачёт?,Предметка влияет на статус призера и победителя,Как именно?,"есть формула для подсчёта баллов, по 15% от матеши и инфы + 70% командник"
Предметка влияет на статус призера и победителя,Как именно?,"есть формула для подсчёта баллов, по 15% от матеши и инфы + 70% командник",помоему в прошлом году было 20% от матеши и инфы
Как именно?,"есть формула для подсчёта баллов, по 15% от матеши и инфы + 70% командник",помоему в прошлом году было 20% от матеши и инфы,"не знаю, обычно 0.7 командник был"
,,,Да
,,Да,Блин
,Да,Блин,Но призовые только за командный
Да,Блин,Но призовые только за командный,"Ааа
Ну вот, тогда хорошо"
Блин,Но призовые только за командный,"Ааа
Ну вот, тогда хорошо","Предметка нужна чтобы в общем зачёте было место повыше, но обычно не играет ключевой роли для тех же победов комнадного"
Но призовые только за командный,"Ааа
Ну вот, тогда хорошо","Предметка нужна чтобы в общем зачёте было место повыше, но обычно не играет ключевой роли для тех же победов комнадного",Это плохо
,,,"а как будет работать расписание решения задачи, то есть мы в отеле не сможем ее решать?"
,,"а как будет работать расписание решения задачи, то есть мы в отеле не сможем ее решать?",Официально - нет
,,,понял
,,,Ноутбуки тоже будут доступны только на площадке соревнования
,,Ноутбуки тоже будут доступны только на площадке соревнования,а мы на своих не сможем работать?
,,,А свои можно?
,,А свои можно?,"Предполагается, что вы будете работать в специально отведенное время на специально выделенных ноутах, чтобы все были в более-менее равных условиях"
,,,ну просто без своего софта это делать неудобно
,,ну просто без своего софта это делать неудобно,"Очень жаль, но мы должны следить, чтобы все были в равных условиях"
,ну просто без своего софта это делать неудобно,"Очень жаль, но мы должны следить, чтобы все были в равных условиях",Т.е. свой софт использовать нельзя? Или свой ноут во время решения на площадке использовать нельзя?
ну просто без своего софта это делать неудобно,"Очень жаль, но мы должны следить, чтобы все были в равных условиях",Т.е. свой софт использовать нельзя? Или свой ноут во время решения на площадке использовать нельзя?,"По софту есть условия в правилах, что вы не можете использовать ПО, на которое требуется лицензия. То, что распространяется свободно и бесплатно - можете использовать. 

И свой ноут во время решения на площадке использовать нельзя"
"Очень жаль, но мы должны следить, чтобы все были в равных условиях",Т.е. свой софт использовать нельзя? Или свой ноут во время решения на площадке использовать нельзя?,"По софту есть условия в правилах, что вы не можете использовать ПО, на которое требуется лицензия. То, что распространяется свободно и бесплатно - можете использовать. 

И свой ноут во время решения на площадке использовать нельзя","То есть мы будем работать на ноутах с линуксам, так как windows требует лицензии а macos является закрытой системой"
Т.е. свой софт использовать нельзя? Или свой ноут во время решения на площадке использовать нельзя?,"По софту есть условия в правилах, что вы не можете использовать ПО, на которое требуется лицензия. То, что распространяется свободно и бесплатно - можете использовать. 

И свой ноут во время решения на площадке использовать нельзя","То есть мы будем работать на ноутах с линуксам, так как windows требует лицензии а macos является закрытой системой","Вы будете работать на ноутбуках с одинаковой windows, предоставленной организаторами. Речь шла об использовании своего софта"
,,,"Я бы сказал, без своих сохранённых паролей от аккаунтов это делать неудобно"
,,"Я бы сказал, без своих сохранённых паролей от аккаунтов это делать неудобно",вот да
,,,то есть в отеле у нас будут наши ноутбуки пытаться забрать?
,,то есть в отеле у нас будут наши ноутбуки пытаться забрать?,"Не думаю, что к вам будут врываться в номера в свободное время и отбирать личные вещи 👀"
,,,Мне на то чтобы войти везде нужно минут 30)
,,,"А люди, живущие в Москве, сами добираются в воскресенье до отеля?"
,,"А люди, живущие в Москве, сами добираются в воскресенье до отеля?",Лучше адресовать все вопросы в части дороги и порядка заселения колл-центру
,"А люди, живущие в Москве, сами добираются в воскресенье до отеля?",Лучше адресовать все вопросы в части дороги и порядка заселения колл-центру,хорошо спасибо
,,,раньше было не так?
,,,А свой внешний жёсткий диск?
,,А свой внешний жёсткий диск?,Я бы рекомендовала выгрузить необходимые материалы в облако. Компы предоставляются Сбером и там может быть ограничение по подключению внешних устройств (но это не точно)
,А свой внешний жёсткий диск?,Я бы рекомендовала выгрузить необходимые материалы в облако. Компы предоставляются Сбером и там может быть ограничение по подключению внешних устройств (но это не точно),а большинство облачных сервисов платные)))
А свой внешний жёсткий диск?,Я бы рекомендовала выгрузить необходимые материалы в облако. Компы предоставляются Сбером и там может быть ограничение по подключению внешних устройств (но это не точно),а большинство облачных сервисов платные))),"Большинство облачных сервисов имеют бесплатные лимиты, постарайтесь в них уложиться"
,,,"не у всех он есть
нечестно"
,,"не у всех он есть
нечестно",Понял
,"не у всех он есть
нечестно",Понял,по типу s3/google drive
,,,PyCharm запрещён?
,,PyCharm запрещён?,так он бесплатный
,,,Значит не запрещён
,,,"Чет очень не очень… нельзя будет принести свой ноут и работать на нем, но обучать на ноутах выданных сбером?"
,,"Чет очень не очень… нельзя будет принести свой ноут и работать на нем, но обучать на ноутах выданных сбером?",Нет
,"Чет очень не очень… нельзя будет принести свой ноут и работать на нем, но обучать на ноутах выданных сбером?",Нет,Очень не круто
,,,"Обучать будем на крысе, доступ к которой нам дадут"
,,"Обучать будем на крысе, доступ к которой нам дадут",v100 или a100
,"Обучать будем на крысе, доступ к которой нам дадут",v100 или a100,Наврят ли a100 дадут
"Обучать будем на крысе, доступ к которой нам дадут",v100 или a100,Наврят ли a100 дадут,ну всё может быть
,,,"зачем вообще вам ноуты на финале? вы торты будете готовить или код писать?
кухня должна быть у каждого"
,,"зачем вообще вам ноуты на финале? вы торты будете готовить или код писать?
кухня должна быть у каждого","интересно
хм"
,,,Вот бы кластер из 100 v100 каждому…
,,Вот бы кластер из 100 v100 каждому…,95% не смогут использовать его на 99%
,Вот бы кластер из 100 v100 каждому…,95% не смогут использовать его на 99%,"Дай доступ, и я словлю cuda out of memory"
Вот бы кластер из 100 v100 каждому…,95% не смогут использовать его на 99%,"Дай доступ, и я словлю cuda out of memory",Скорее свалить куда девайс тригеред или найден одинаковый кусок батча на разных картах
95% не смогут использовать его на 99%,"Дай доступ, и я словлю cuda out of memory",Скорее свалить куда девайс тригеред или найден одинаковый кусок батча на разных картах,"Второй по другому звучит, но суть поняли"
"Дай доступ, и я словлю cuda out of memory",Скорее свалить куда девайс тригеред или найден одинаковый кусок батча на разных картах,"Второй по другому звучит, но суть поняли",а ну для этого нужно писать шардирование датасета
,,,да да
,,да да,😆
,,,только 1 участник сможет?)
,,только 1 участник сможет?),Уже нет
,,,из 100
,,из 100,выдумщики
,из 100,выдумщики,"ладно, самое сложное - это джобу запустить"
из 100,выдумщики,"ладно, самое сложное - это джобу запустить",нужно просто поставить очень большой батч сайз
выдумщики,"ладно, самое сложное - это джобу запустить",нужно просто поставить очень большой батч сайз,"дак это прям легко
ты же указываешь батч на карту
а не на весь кластер
так что oom изи ловится"
,,,вообще тренить на 100+ картах неоч сложно
,,вообще тренить на 100+ картах неоч сложно,"Всего лишь нужно....
Использовать труды hf или Microsoft"
,вообще тренить на 100+ картах неоч сложно,"Всего лишь нужно....
Использовать труды hf или Microsoft",да
,,,чтобы не пересекались на разных картах датасеты
,,чтобы не пересекались на разных картах датасеты,"Позвонил в колл-центр: заранее списка с распределением по номерам нет, это будет осуществляться на ресепшн, то есть надо подойти к куратору, выразить желание проживать вместе, заселиться на ресепшн вместе."
,чтобы не пересекались на разных картах датасеты,"Позвонил в колл-центр: заранее списка с распределением по номерам нет, это будет осуществляться на ресепшн, то есть надо подойти к куратору, выразить желание проживать вместе, заселиться на ресепшн вместе.",Ну наверное баллы суммируются
,,,0.3 индв + 0.7 команд
,,0.3 индв + 0.7 команд,"0,2 индв + 0,8 командный"
,,,Спасибо)
,,Спасибо),+ 80% команднпик
,Спасибо),+ 80% команднпик,в прошлом
Спасибо),+ 80% команднпик,в прошлом,а в этом уже известно? где посмотреть
,,,разве не 0.2
,,разве не 0.2,Не помню
,,,а в прошлом предметный без надзора писался?
,,а в прошлом предметный без надзора писался?,прокторинг
,,,ну там под камерами
,,ну там под камерами,ну в прошлом было 0.2
,ну там под камерами,ну в прошлом было 0.2,Накидайте ещё вопросов
,,,болею за 2
,,болею за 2,Полностью одобряю
,,,"да, давайте голосовать"
,,"да, давайте голосовать",+
,"да, давайте голосовать",+,я тоже за второе
"да, давайте голосовать",+,я тоже за второе,"+
удали
я не то нажал
ахаха
режим сбиваем"
+,я тоже за второе,"+
удали
я не то нажал
ахаха
режим сбиваем","О, уважающий чужое время человек использующий хештеги"
я тоже за второе,"+
удали
я не то нажал
ахаха
режим сбиваем","О, уважающий чужое время человек использующий хештеги",в 22 турнир по нардам
,,,вам хочется ложиться раньше?
,,вам хочется ложиться раньше?,"да, я к 10 вечера уже вырубаюсь"
,,,ну кстати жиза
,,ну кстати жиза,Я тебе разрешаю
,,,И разрешаю вставать в 7
,,И разрешаю вставать в 7,вообще-то в 6
,И разрешаю вставать в 7,вообще-то в 6,
,,,"не завидую человеку, который будет жить со мной ахах"
,,"не завидую человеку, который будет жить со мной ахах",у тебя кто сокомандник?
,"не завидую человеку, который будет жить со мной ахах",у тебя кто сокомандник?,Я
,,,а сеня с кем?
,,а сеня с кем?,С Галиной Герасимовой
,а сеня с кем?,С Галиной Герасимовой,Хм
,,,Интересно
,,,В вшэ же не обязательно каждый день кататься будет? Можно и из отеля решать?
,,В вшэ же не обязательно каждый день кататься будет? Можно и из отеля решать?,В памятке написано что мы каждый день в  вышку будем  кататься
,,,Не думаю
,,,Так бы все один день покатались и остальное вреия в отеле сидели наверное
,,Так бы все один день покатались и остальное вреия в отеле сидели наверное,"Ну да, а зачем туда"
,,,"Просто задачу послушать, а кристофари удаленно можно
Ну и награждение еще"
,,,"ну, это будет полезно - не сидеть целыми днями в отеле, а хоть иногда выходить на улицу"
,,"ну, это будет полезно - не сидеть целыми днями в отеле, а хоть иногда выходить на улицу",самая сложная задача на олимпиаде
,,,В вшэ есть качалка?
,,В вшэ есть качалка?,в отеле есть
,В вшэ есть качалка?,в отеле есть,ну вот
,,,я оккупирую качалку
,,я оккупирую качалку,Я могу с этим помочь 😹
,,,👊
,,,Жаль
,,Жаль,это лучше
,,,Можно сразу после рефлексии 👀
,,Можно сразу после рефлексии 👀,Что такое рефлексия?
,Можно сразу после рефлексии 👀,Что такое рефлексия?,"ты в группах беседуешь, обсуждаешь как тебе финал, задания, атмосфера"
Можно сразу после рефлексии 👀,Что такое рефлексия?,"ты в группах беседуешь, обсуждаешь как тебе финал, задания, атмосфера",Аааа огонек
Что такое рефлексия?,"ты в группах беседуешь, обсуждаешь как тебе финал, задания, атмосфера",Аааа огонек,там отличия есть
,,,"У нас будет точное расписание и распорядок дня? если оно уже есть, можете скинуть пожалуйста"
,,"У нас будет точное расписание и распорядок дня? если оно уже есть, можете скинуть пожалуйста",Была ссылка выше: https://disk.yandex.ru/i/5vQQowLS8qmDmA
,"У нас будет точное расписание и распорядок дня? если оно уже есть, можете скинуть пожалуйста",Была ссылка выше: https://disk.yandex.ru/i/5vQQowLS8qmDmA,с 16-19 будет в воскресенье командообразование. что делать командам которые в 19.30 только в мск приезжают?
,,спасибо!,"в том, что каждое твое слово записывают"
,,,"нуу, я не вижу ничего плохого"
,,"нуу, я не вижу ничего плохого","В том то и дело. Если будет что-то плохое, то ты этого не увидишь)"
,,,"Пиши в поддержку НТО
Они этим занимаются"
,,"Пиши в поддержку НТО
Они этим занимаются","Вроде школы в которых учатся и так знают что ребята едут 
Поэтому с этим вроде не должно быть проблем 🙈"
,"Пиши в поддержку НТО
Они этим занимаются","Вроде школы в которых учатся и так знают что ребята едут 
Поэтому с этим вроде не должно быть проблем 🙈","люди которые едут на финал, в школу только похавать ходят -_-"
,,,"а ктото наверно едет на финал, чтобы похавать)"
,,"а ктото наверно едет на финал, чтобы похавать)","Кто-то едет на финал, чтобы побывать в другом городе"
,,,"И прогулять школу, что важно"
,,"И прогулять школу, что важно",жиза
,,,Хехе жиза
,,,колаб решает
,,колаб решает,"ты слишком юн, чтобы понять мой замысел"
,,,"решает, можно ли тебе ставить софт?"
,,,"можно ли входить на онлифанс во время соревнования, если там есть платные подписки"
,,"можно ли входить на онлифанс во время соревнования, если там есть платные подписки","Кажется, что шуточки про онлифанс лишние, нет?)

Или про правила?)"
,"можно ли входить на онлифанс во время соревнования, если там есть платные подписки","Кажется, что шуточки про онлифанс лишние, нет?)

Или про правила?)","чуть чуть, но надо было уточнить"
,,,не будет ли это нарушением правил
,,не будет ли это нарушением правил,а ты пароль и логин скинь в общий чат
,не будет ли это нарушением правил,а ты пароль и логин скинь в общий чат,можно ли постить контент на онлифанс во время соревы со сберовского ноута?
,,,можно будет
,,можно будет,ок
,,,"ну если ты будешь юзать контет с онлика для обучения, то думаю будут проблемы"
,,"ну если ты будешь юзать контет с онлика для обучения, то думаю будут проблемы","да, онлифанс, как метод регуляризации модели"
,"ну если ты будешь юзать контет с онлика для обучения, то думаю будут проблемы","да, онлифанс, как метод регуляризации модели",на гитхаб пж залей
"ну если ты будешь юзать контет с онлика для обучения, то думаю будут проблемы","да, онлифанс, как метод регуляризации модели",на гитхаб пж залей,"у меня в профиле было
если подпишешься на гите, то сделаю общий доступ"
"да, онлифанс, как метод регуляризации модели",на гитхаб пж залей,"у меня в профиле было
если подпишешься на гите, то сделаю общий доступ",скинь пж гит
на гитхаб пж залей,"у меня в профиле было
если подпишешься на гите, то сделаю общий доступ",скинь пж гит,истек срок годности предложения
"у меня в профиле было
если подпишешься на гите, то сделаю общий доступ",скинь пж гит,истек срок годности предложения,:(
,,,накидывает минимум 2%
,,накидывает минимум 2%,"а, да? тогда парсим по быстрому"
,накидывает минимум 2%,"а, да? тогда парсим по быстрому",ща подпишусь
,,,"Товарищи, меньше флуда и странных тем"
,,"Товарищи, меньше флуда и странных тем",Может создадим ИИ флудилка финалисты?
,"Товарищи, меньше флуда и странных тем",Может создадим ИИ флудилка финалисты?,lets go
"Товарищи, меньше флуда и странных тем",Может создадим ИИ флудилка финалисты?,lets go,я админ
,,,Хорошая идея
,,,100 рублей вход
,,100 рублей вход,То что флудилку создают - не значит что пока можно флудить тут >_>
,,,ух ты
,,,ну ты кидай номер карты
,,ну ты кидай номер карты,могу фотку ток с двух сторон скинуть
,,,+ 10к на карту...
,,+ 10к на карту...,как раз хотел написатьхаха
,+ 10к на карту...,как раз хотел написатьхаха,извиняюсь
,,,Кто-нибудь прошел еще в финал БДИМО? Напишите в лс пожалуйста
,,Кто-нибудь прошел еще в финал БДИМО? Напишите в лс пожалуйста,А что?
,Кто-нибудь прошел еще в финал БДИМО? Напишите в лс пожалуйста,А что?,Там 4 марта оказывается предметный тур по бдимо
Кто-нибудь прошел еще в финал БДИМО? Напишите в лс пожалуйста,А что?,Там 4 марта оказывается предметный тур по бдимо,"и мне интересно, что другие делают в этом случае. переносить билет и уезжать не 4?"
,,,Ну ок
,,,"Расписание Мега забитое, времени для качалки не будет?🥺🥺🥺"
,,"Расписание Мега забитое, времени для качалки не будет?🥺🥺🥺",Встаешь пораньше с утра и идешь
,"Расписание Мега забитое, времени для качалки не будет?🥺🥺🥺",Встаешь пораньше с утра и идешь,"тренируешься ночью, пока соперники спят"
"Расписание Мега забитое, времени для качалки не будет?🥺🥺🥺",Встаешь пораньше с утра и идешь,"тренируешься ночью, пока соперники спят",Чтобы стать лучше других
,,да,"готов забиться в арме
го спецном за чемпа по арму"
,,,А чемпион по фортинайту проведём?
,,А чемпион по фортинайту проведём?,
,,,арм это армрестлинг
,,арм это армрестлинг,"А
Неудобно получилось .-."
,арм это армрестлинг,"А
Неудобно получилось .-.",будем жить с видом на лошадок
арм это армрестлинг,"А
Неудобно получилось .-.",будем жить с видом на лошадок,Не факт
,,,Там есть номер с видом на какую-то аллею
,,Там есть номер с видом на какую-то аллею,У меня был номер с видом на кирпичный дом
,,,не повезет
,,не повезет,"Ахахах, жиза"
,не повезет,"Ахахах, жиза","Так что, по разному"
не повезет,"Ахахах, жиза","Так что, по разному",У меня в нижнем тоже был вид на кирпичный дом
,,,Что насчет флудилки?
,,Что насчет флудилки?,@tiny_coin
,Что насчет флудилки?,@tiny_coin,Не можешь победить - возглавь
Что насчет флудилки?,@tiny_coin,Не можешь победить - возглавь,думал вдруг монета создал уже
,,,"эх, придется завтра утром только тегать"
,,,"ой, чат перепутал"
,,"ой, чат перепутал",какие люди
,,,и он вышел гений
,,и он вышел гений,:(
,,,видимо хотел зайти в тред бк как проникнуть в отель
,,,"Добрый день, на ntcontest нужно объединяться в команду?"
,,"Добрый день, на ntcontest нужно объединяться в команду?","Нет) либо ищитесь здесь в чате с тегом #ищукоманду по примеру вашего коллеги Максима. Либо с помощью таблицы. 
Но обязательно фиксируйте в таблице названия ваших команд. 

Повторюсь, что оно должно быть одинаковым. 
И, пожалуйста, при объединении обращайте внимание на трек. (8-9 класс, 10-11 класс).  В команды важно объединяться в рамках одного трека."
,"Добрый день, на ntcontest нужно объединяться в команду?","Нет) либо ищитесь здесь в чате с тегом #ищукоманду по примеру вашего коллеги Максима. Либо с помощью таблицы. 
Но обязательно фиксируйте в таблице названия ваших команд. 

Повторюсь, что оно должно быть одинаковым. 
И, пожалуйста, при объединении обращайте внимание на трек. (8-9 класс, 10-11 класс).  В команды важно объединяться в рамках одного трека.","Хорошо, спасибо"
,,,В прошлом году это на ODS делали
,,В прошлом году это на ODS делали,Сейчас объединение закрыто ведь?
,В прошлом году это на ODS делали,Сейчас объединение закрыто ведь?,новый ods https://t.me/betterdatacommunity
,,,"Создать чат, дело трех секунд"
,,,Всем пришло смс о трансфере до отеля?
,,Всем пришло смс о трансфере до отеля?,Представитель нто писал в личку
,,,Смс?
,,Смс?,Да
,Смс?,Да,мне да
Смс?,Да,мне да,"Максим! Спасибо тебе, что начал процесс поиска партнёра в команду 🔥 напиши, пожалуйста, ещё в табличку, которую я публиковала выше"
,,,Мы сможем заказать еду в отель сами?
,,Мы сможем заказать еду в отель сами?,нет
,Мы сможем заказать еду в отель сами?,нет,а если будет разрешение от родителей что они несут ответственность за мое состояние после приема макдоналдса из яндекс еды?
Мы сможем заказать еду в отель сами?,нет,а если будет разрешение от родителей что они несут ответственность за мое состояние после приема макдоналдса из яндекс еды?,вряд ли
,,,это не так работает
,,это не так работает,жалко
,это не так работает,жалко,какая то душная вся эта тема если честно...
,,,"то нельзя, это нельзя, как будто опять в детский лагерь еду"
,,"то нельзя, это нельзя, как будто опять в детский лагерь еду",Тут еще хорошо
,,,Очень даже свободно
,,Очень даже свободно,Поддерживаю
,,да,Надо команде 21 встретиться и записать кружечек
,,,а типо реально душно это как и где?
,,а типо реально душно это как и где?,Это когда на улицу(то есть на территорию заведения) без вожатого нельзя инет на ночь вырубают на моб. сеть глушилка
,а типо реально душно это как и где?,Это когда на улицу(то есть на территорию заведения) без вожатого нельзя инет на ночь вырубают на моб. сеть глушилка,Рил глушат?
,,,Оц взлет называется
,,Оц взлет называется,?
,,,нам на улице без вожатого нельзя
,,нам на улице без вожатого нельзя,По отелю можно гулять? Можно
,нам на улице без вожатого нельзя,По отелю можно гулять? Можно,го во флуд лучше а то админы
,,,ну этт мы узнаем
,,ну этт мы узнаем,"Приветствую. Вопрос: я приехал своим ходом так вышло, как я могу прийти на финал? Просто своим ходом в гостиницу?
Если не сложно, кто-то из оргов, напишите пж в лс, есть пару вопросов"
,,,"В письме на почте написано , что надо приехать с 14 до 15, а в расписании - целый день"
,,"В письме на почте написано , что надо приехать с 14 до 15, а в расписании - целый день","Ну это кстати да, потому что я в 6 с чем-то приезжаю"
,,,тут тегать нельзя
,,,Во сколько надо приезжать?
,,Во сколько надо приезжать?,Когда сможешь
,,,"Желательно 26-ого
Во сколько конкретно - не важно. У тебя так-то в смс с трансфером должна быть. Ей и следуй"
,,,"Ребята, следуйте рекомендациям в письме, пожалуйста)"
,,"Ребята, следуйте рекомендациям в письме, пожалуйста)",Вы организатор?
,"Ребята, следуйте рекомендациям в письме, пожалуйста)",Вы организатор?,"Смотря по какому вопросу. Я - руководитель антропологической программы, как я уже писала выше"
"Ребята, следуйте рекомендациям в письме, пожалуйста)",Вы организатор?,"Смотря по какому вопросу. Я - руководитель антропологической программы, как я уже писала выше",Понял) Тргда не по теме к вам вопрос выше
,,,"Пару вопросов в ЛС задам, ничего?"
,,"Пару вопросов в ЛС задам, ничего?",Без проблем!)
,,,что с расселением в отеле?
,,что с расселением в отеле?,"Константин, приветствую! Меня зовут Илья, я заместитель руководителя антропологической программы. Можешь уточнить, что ты имеешь ввиду?"
,,,мы по комнатам сами разделимся или нас уже расселили?
,,мы по комнатам сами разделимся или нас уже расселили?,Вас уже всех расселили. Во время регистрации на ресепшене выдадут ключ от номера и назовут номер
,мы по комнатам сами разделимся или нас уже расселили?,Вас уже всех расселили. Во время регистрации на ресепшене выдадут ключ от номера и назовут номер,А можно узнать список кто с кем?
мы по комнатам сами разделимся или нас уже расселили?,Вас уже всех расселили. Во время регистрации на ресепшене выдадут ключ от номера и назовут номер,А можно узнать список кто с кем?,"Узнаешь об этом непосредственно во время заселения. Если возникнет желание переселить к напарнику, мы поможем"
Вас уже всех расселили. Во время регистрации на ресепшене выдадут ключ от номера и назовут номер,А можно узнать список кто с кем?,"Узнаешь об этом непосредственно во время заселения. Если возникнет желание переселить к напарнику, мы поможем","Ок, спасибо"
,,,"Уважаемые кураторы. Ребят расселили не по командам, хотя анонсировали, что при заселении будут учитывать данное обстоятельство. Можно урегулировать данное обстоятельство и расселить ребят с учетом командообразования?"
,,"Уважаемые кураторы. Ребят расселили не по командам, хотя анонсировали, что при заселении будут учитывать данное обстоятельство. Можно урегулировать данное обстоятельство и расселить ребят с учетом командообразования?","Все участники, желающие переехать уже высказали свои пожелания. Вожатые их зафиксировали.
Так как последний участник заезжает сегодня в ночи, по плану завтра итоговые составы команд будут закреплены и расселены в соответствии с пожеланиями."
